,RepoID,IssueID,Title_Description,AST,FixedByID,Name,CreatedDate
6725,aspnetcoreWebScrap,20508,compil blazor client fail issu move ticket develop commun tri compil blazor client side project core server share lib fail dont understand fix would nice bit help along way compil output build start project dynamicnoisemap client configur debug cpu myblazor client user xxx sourc repo blazortest myblazor client bin debug netstandard myblazor client dll fatal error mono cil linker user xxx nuget packag microsoft aspnetcor blazor build preview target blazor monoruntim target error unhandl except mono linker markexcept error process method system componentmodel icustomtypedescriptor system data entiti modelconfigur util attributeprovidergettypedescriptor system type assembl entityframework dll mono cecil resolutionexcept fail resolv system void system componentmodel dataannot associatedmetadatatypetypedescriptionprovid ctor system type mono linker step markstep handleunresolvedmethod methodrefer refer mono linker step markstep markmethod methodrefer refer mono linker step markstep markinstruct instruct instruct mono linker step markstep markmethodbodi methodbodi bodi mono linker step markstep processmethod methoddefinit method mono linker step markstep processqueu end inner except stack trace mono linker step markstep processqueu mono linker step markstep processprimaryqueu mono linker step markstep process mono linker step markstep process linkcontext context mono linker pipelin processstep linkcontext context istep step mono linker pipelin process linkcontext context mono linker driver run ilogg customlogg mono linker driver execut string arg ilogg customlogg mono linker driver main string arg user xxx nuget packag microsoft aspnetcor blazor build preview target blazor monoruntim target error illink fail exit code done build project dynamicnoisemap client csproj fail build start project dynamicnoisemap server configur debug cpu dynamicnoisemap server user xxx sourc repo blazortest myblazor server bin debug netcoreapp myblazor server dll build succeed fail date skip origin comment visual studio feedback system pwe direct feedback appropri engin team evalu team review feedback notifi next step origin solut solut,,unknown,author migration bot robot,2020-03-04
6715,aspnetcoreWebScrap,20491,add custom build task blazor webassembl project would like add custom build task blazor project compil releas debug configur file pack dist foder time late perform transform dll merg resourc process possibl tri ad custom task appear execut dist folder pack,,unknown,heavy_check_mark resolution answered| status resolved| area-blazor| blazor-wasm| question,2020-03-04
2250,aspnetcoreWebScrap,21445,updat razor compon item templat support code behind file partial option would nice checkbox creat razor file could creat code behind file well like razor page,,mackinnonbuck,area-blazor| enhancement,2020-03-05
2247,aspnetcoreWebScrap,21442,scenario run fortunespostgresql actix fortunespostgresql fasthttp fortunespostgresql nodej fortunespostgresql rhtx fortunespostgresql ulib scenario stop run scenario environ last run fortunespostgresql actix linux amd kestrelsocket fortunespostgresql fasthttp linux amd kestrelsocket fortunespostgresql nodej linux amd kestrelsocket fortunespostgresql rhtx linux amd kestrelsocket fortunespostgresql ulib linux amd kestrelsocket grpcjson linux physic kestrelsocket grpcjson linux physic kestrelsocket grpcjson window physic kestrelsocket grpcjson window physic kestrelsocket grpcjson linux physic kestrelsocket grpcjson linux physic kestrelsocket grpcjson window physic kestrelsocket grpcjson window physic kestrelsocket grpcjsoninput linux physic kestrelsocket grpcjsoninput linux physic kestrelsocket grpcjsoninput window physic kestrelsocket grpcjsoninput window physic kestrelsocket grpcpingpongstream mb grpccore linux physic kestrelsocket grpcpingpongstream mb grpccore window physic kestrelsocket grpcpingpongstream mb grpcnetclient linux physic kestrelsocket grpcpingpongstream mb grpcnetclient linux physic kestrelsocket grpcpingpongstream mb grpcnetclient window physic kestrelsocket grpcpingpongstream mb grpcnetclient window physic kestrelsocket grpcpingpongstream grpccore linux physic kestrelsocket grpcpingpongstream grpccore window physic kestrelsocket grpcpingpongstream grpcnetclient linux physic kestrelsocket grpcpingpongstream grpcnetclient linux physic kestrelsocket grpcpingpongstream grpcnetclient window physic kestrelsocket grpcpingpongstream grpcnetclient window physic kestrelsocket grpcserverstream grpccore linux physic kestrelsocket grpcserverstream grpccore window physic kestrelsocket grpcserverstream grpcnetclient linux physic kestrelsocket grpcserverstream grpcnetclient linux physic kestrelsocket grpcserverstream grpcnetclient window physic kestrelsocket grpcserverstream grpcnetclient window physic kestrelsocket grpcunari mb grpccore linux physic kestrelsocket grpcunari mb grpccore window physic kestrelsocket grpcunari mb grpcnetclient linux physic kestrelsocket grpcunari mb grpcnetclient linux physic kestrelsocket grpcunari mb grpcnetclient window physic kestrelsocket grpcunari mb grpcnetclient window physic kestrelsocket grpcunari grpccore linux physic kestrelsocket grpcunari grpccore window physic kestrelsocket grpcunari grpcnetclient linux physic kestrelsocket grpcunari grpcnetclient linux physic kestrelsocket grpcunari grpcnetclient window physic kestrelsocket grpcunari grpcnetclient window physic kestrelsocket grpcunari load linux physic kestrelsocket grpcunari load linux physic kestrelsocket grpcunari load window physic kestrelsocket grpcunari load window physic kestrelsocket grpcunari stream load linux physic kestrelsocket grpcunari stream load linux physic kestrelsocket grpcunari stream load window physic kestrelsocket grpcunari stream load window physic kestrelsocket json actix linux amd kestrelsocket json fasthttp linux amd kestrelsocket json netti linux amd kestrelsocket json nodej linux amd kestrelsocket json rhtx linux amd kestrelsocket json ulib linux amd kestrelsocket linkathonbaselin linux physic kestrelsocket linkathongrpcbaselin linux physic kestrelsocket linkathonplatformbaselin linux physic kestrelsocket linkathontrimmedandr rsinglefil linux physic kestrelsocket linkathontrimmedandr rsinglefilecustomhost linux physic kestrelsocket linkathontrimmedandr rsinglefilenomvc linux physic kestrelsocket linkathontrimmedandr rsinglefilewithtrimlist linux physic kestrelsocket linkathontrimmedandr rsinglefilewithtrimlistcrossgen linux physic kestrelsocket plaintext actix linux amd kestrelsocket plaintext fasthttp linux amd kestrelsocket plaintext netti linux amd kestrelsocket plaintext nodej linux amd kestrelsocket plaintext rhtx linux amd kestrelsocket plaintext ulib linux amd kestrelsocket log,,sebastienros,perf| area-grpc| perf-not-running,2020-03-05
2244,aspnetcoreWebScrap,21435,figur webassemblyhttpmessagehandleropt hi chap see remov webassemblyhttpmessagehandleropt class faviour per request set configur http fetch request option two project spa project webapi differn origion authenticanion webapi side need everi request send cooki remov global set webassemblyhttpmessagehandleropt go pain set everi request request like httphelper class post get method go use send everywher instead think global webassemblyhttpmessagehandleropt good thing would say bring back luke,<bm>postintpredefinedtype|typeargumentlist|genericnametaskintpredefinedtype|typeargumentlist|genericname|methoddeclaration|parameterlist|parameter|identifiernamedate|timeintpredefinedtype|typeargumentlist|genericname|methoddeclaration|parameterlist|parameterevent|dateintpredefinedtype|typeargumentlist|genericname|methoddeclarationmethod_nametaskgenericname|methoddeclaration|parameterlist|parameter|attributelist|attribute|identifiernamefrom|bodytaskgenericname|methoddeclaration|parameterlist|parameter|identifiernamedate|timetaskgenericname|methoddeclaration|parameterlist|parameterevent|datetaskgenericname|methoddeclarationmethod_namefrom|bodyidentifiername|attribute|attributelist|parameter|identifiernamedate|timefrom|bodyidentifiername|attribute|attributelist|parameterevent|datefrom|bodyidentifiername|attribute|attributelist|parameter|parameterlist|methoddeclarationmethod_namedate|timeidentifiername|parameterevent|datedate|timeidentifiername|parameter|parameterlist|methoddeclaration|block|returnstatement|numericliteralexpression3date|timeidentifiername|parameter|parameterlist|methoddeclarationmethod_nameevent|dateparameter|parameterlist|methoddeclaration|block|returnstatement|numericliteralexpression3event|dateparameter|parameterlist|methoddeclarationmethod_name3numericliteralexpression|returnstatement|block|methoddeclarationmethod_namenever|makes|it|here|ascommentnever|makes|it|here|asthe|server|returns|a|errorcommentthe|server|returns|a|errorcodecommentcode<em>,unknown,heavy_check_mark resolution answered| status resolved| area-blazor| blazor-wasm| question,2020-03-05
2249,aspnetcoreWebScrap,21444,wasm event callback block browser chrome render crp found workaround issu close next sprint svg open new one proof svg issu wasm bind issu may seriou look issu event callback flood browser queue prevent crp render move event like ontouchmov onmousemov even without js interop svg issu still persist laggi desktop version chrome browser major android browser other havent test yet desktop mozilla work far best smooth problem sit hook event fire frequent blazor compon like onmousemov ontouchmov note shouldrend doesnt affect ive tri disabl chang posit js interop issu chang properti valu event like coord drag reposit element either properti offsetleft offsettop css properti call jsinterop chang posit via transform translat note chang dom properti behav think decent issu examin poor perform touch devic touchev fault pure flood issu log event receiv rendertre updat frequent event fire that correct browser doesnt fire crp render order display content examin first glanc open chrome develop consol watch properti chang dom issu involv mousemov fire less frequent okay devic although notic slower pure js differ wasm hit fp time touchev fire frequent tho complet flood wasm bind block browser cleari examin drag finger slowli make touchmov less frequent way wasm fault mayb mono wasm ive recreat entir scenario rust wasm pack work perfectli like pure js exampl compon issu taken issu detail technic detail blazor clientsid wasm preview version offici build bit window bit use vs ide tri stabl preview,,unknown,area-blazor| blazor-wasm,2020-03-05
2243,aspnetcoreWebScrap,21433,blazor wasm local describ bug local blazor wasm work correctli user use blazor asp net core host identityserv document blazor found exampl local wasm locsampl project wasm hasnt extra host everyth work perfect project use cultur en de de de fr ru firefox edg show translat en standard languag resx file russian googl chrome show translat correctli languag reproduc vs creat new project blazor wasm asp net core host ident add nuget packag microsoft extens local add program cs set cultur ide microsoft visual studio commun,,pranavkm,area-blazor| blazor-wasm| bug,2020-03-05
2245,aspnetcoreWebScrap,21440,scenario run fortunespostgresql actix fortunespostgresql fasthttp fortunespostgresql nodej fortunespostgresql rhtx fortunespostgresql ulib scenario stop run scenario environ last run fortunespostgresql actix linux amd kestrelsocket fortunespostgresql fasthttp linux amd kestrelsocket fortunespostgresql nodej linux amd kestrelsocket fortunespostgresql rhtx linux amd kestrelsocket fortunespostgresql ulib linux amd kestrelsocket grpcjson linux physic kestrelsocket grpcjson linux physic kestrelsocket grpcjson window physic kestrelsocket grpcjson window physic kestrelsocket grpcjson linux physic kestrelsocket grpcjson linux physic kestrelsocket grpcjson window physic kestrelsocket grpcjson window physic kestrelsocket grpcjsoninput linux physic kestrelsocket grpcjsoninput linux physic kestrelsocket grpcjsoninput window physic kestrelsocket grpcjsoninput window physic kestrelsocket grpcpingpongstream mb grpccore linux physic kestrelsocket grpcpingpongstream mb grpccore window physic kestrelsocket grpcpingpongstream mb grpcnetclient linux physic kestrelsocket grpcpingpongstream mb grpcnetclient linux physic kestrelsocket grpcpingpongstream mb grpcnetclient window physic kestrelsocket grpcpingpongstream mb grpcnetclient window physic kestrelsocket grpcpingpongstream grpccore linux physic kestrelsocket grpcpingpongstream grpccore window physic kestrelsocket grpcpingpongstream grpcnetclient linux physic kestrelsocket grpcpingpongstream grpcnetclient linux physic kestrelsocket grpcpingpongstream grpcnetclient window physic kestrelsocket grpcpingpongstream grpcnetclient window physic kestrelsocket grpcserverstream grpccore linux physic kestrelsocket grpcserverstream grpccore window physic kestrelsocket grpcserverstream grpcnetclient linux physic kestrelsocket grpcserverstream grpcnetclient linux physic kestrelsocket grpcserverstream grpcnetclient window physic kestrelsocket grpcserverstream grpcnetclient window physic kestrelsocket grpcunari mb grpccore linux physic kestrelsocket grpcunari mb grpccore window physic kestrelsocket grpcunari mb grpcnetclient linux physic kestrelsocket grpcunari mb grpcnetclient linux physic kestrelsocket grpcunari mb grpcnetclient window physic kestrelsocket grpcunari mb grpcnetclient window physic kestrelsocket grpcunari grpccore linux physic kestrelsocket grpcunari grpccore window physic kestrelsocket grpcunari grpcnetclient linux physic kestrelsocket grpcunari grpcnetclient linux physic kestrelsocket grpcunari grpcnetclient window physic kestrelsocket grpcunari grpcnetclient window physic kestrelsocket grpcunari load linux physic kestrelsocket grpcunari load linux physic kestrelsocket grpcunari load window physic kestrelsocket grpcunari load window physic kestrelsocket grpcunari stream load linux physic kestrelsocket grpcunari stream load linux physic kestrelsocket grpcunari stream load window physic kestrelsocket grpcunari stream load window physic kestrelsocket json actix linux amd kestrelsocket json fasthttp linux amd kestrelsocket json netti linux amd kestrelsocket json nodej linux amd kestrelsocket json rhtx linux amd kestrelsocket json ulib linux amd kestrelsocket linkathonbaselin linux physic kestrelsocket linkathongrpcbaselin linux physic kestrelsocket linkathongrpctrimmedandr rsinglefil linux physic kestrelsocket linkathonplatformbaselin linux physic kestrelsocket linkathontrimmedandr rsinglefil linux physic kestrelsocket linkathontrimmedandr rsinglefilecustomhost linux physic kestrelsocket linkathontrimmedandr rsinglefilenomvc linux physic kestrelsocket linkathontrimmedandr rsinglefilewithtrimlist linux physic kestrelsocket linkathontrimmedandr rsinglefilewithtrimlistcrossgen linux physic kestrelsocket plaintext actix linux amd kestrelsocket plaintext fasthttp linux amd kestrelsocket plaintext netti linux amd kestrelsocket plaintext nodej linux amd kestrelsocket plaintext rhtx linux amd kestrelsocket plaintext ulib linux amd kestrelsocket log,,unknown,perf| area-grpc| perf-not-running,2020-03-05
2248,aspnetcoreWebScrap,21443,question endpoint rout scenario use variou middlewar present achiev follow scenario would like use endpoint rout instead wonder follow scenario possibl achiev endpoint rout though id like achiev follow process incom request identifi tenant custom logic databas lookup etc make valu avail somewher ambient select endpoint downstream middlewar specif question use endpoint rout run logic everi request calcul ambient valu use later thing store valu use endpoint middlewar custom rout constraint etc im think routevalu vs httpcontext item note wish actual select endpoint stage wish make access addit valu could utilis thing like decid endpoint select custom rout constraint evalu custom constraint could succeed fail base valu expos list endpoint tenant databas endpoint would wrap execut tenant specif requestdeleg middlewar pipelin id getorcr cach lazili pretti sure need implement endpointdatasourc oqn custom endpoint incom request way select correct endpoint list per number base tenant id ambient valu made avail step basic tri use flow think make sens endpoint rout system someth intercept request add metadata somewher tenant id valu use right multipl potenti use case futur someth els expos list endpoint tenant one would associ tenant id endpointdatasourc someth ad step alreadi occur use ambient valu tenant id provid step select endpoint associ step thu endpoint middlewar actual execut endpoint tenant specif custom endpoint select match tenant id far think achiev number custom endpointdatasourc howev sure go number advic guidanc would greatli appreci thing consid need use catch rout logic run request mayb custom rout contraint rout constraint logic look tenant store tenant id routevalu keep middlewar add valu somewher httpcontext matcherpolici look like might relev number implement aspnet core look non straight forward couldnt work glanc exampl hostnam matcher polici implement sever differ interfac hard see fit togeth stuff go perhap better sourc learn understand develop matcherpolici someon point link simpler exampl would also help thank,,unknown,unknown,2020-03-05
2242,aspnetcoreWebScrap,21432,blazor dynam select set select valu follow complet exampl demonstr issu set select valu select step reproduc chrome firefox least instal blazor rc webassembl creat new project use host templat creat new razor file call exampl razor past exampl goto exampl click first select list choos two everyth seem work click first select list choos three second list select even though valu select tag select list option,<bm>select|itemvoidpredefinedtype|methoddeclaration|parameterlist|parameter|identifiernamechange|event|argsvoidpredefinedtype|methoddeclaration|parameterlist|parameterevoidpredefinedtype|methoddeclarationmethod_namechange|event|argsidentifiername|parameterechange|event|argsidentifiername|parameter|parameterlist|methoddeclaration|block|expressionstatement|simpleassignmentexpression|identifiername0item|idchange|event|argsidentifiername|parameter|parameterlist|methoddeclaration|block|expressionstatement|simpleassignmentexpression|identifiername0tagchange|event|argsidentifiername|parameter|parameterlist|methoddeclarationmethod_nameeparameter|parameterlist|methoddeclaration|block|expressionstatement|simpleassignmentexpression|identifiername0item|ideidentifiername0|simplememberaccessexpression|argument0|argumentlist1|invocationexpression1|simpleassignmentexpression|identifiername0item|ideidentifiername0|simplememberaccessexpression|argument0|argumentlist1|invocationexpression|simplememberaccessexpression0|identifiername0converteidentifiername0|simplememberaccessexpression|argument0|argumentlist1|invocationexpression|simplememberaccessexpression0|identifiername1to|inteidentifiername0|simplememberaccessexpression|identifiername1valueeparameter|parameterlist|methoddeclaration|block|expressionstatement|simpleassignmentexpression|identifiername0tageparameter|parameterlist|methoddeclarationmethod_nameitem|ididentifiername0|simpleassignmentexpression|invocationexpression1|simplememberaccessexpression0|identifiername0convertitem|ididentifiername0|simpleassignmentexpression|invocationexpression1|simplememberaccessexpression0|identifiername1to|intitem|ididentifiername0|simpleassignmentexpression|invocationexpression1|argumentlist1|argument0|simplememberaccessexpression|identifiername1valueitem|ididentifiername0|simpleassignmentexpression|expressionstatement|block|expressionstatement|simpleassignmentexpression|identifiername0tagitem|ididentifiername|equalsexpression|simplelambdaexpression|argument0|argumentlist1|invocationexpression|simplememberaccessexpression0|identifiername0itemsitem|ididentifiername|equalsexpression|simplelambdaexpression|argument0|argumentlist1|invocationexpression|simplememberaccessexpression0|identifiername1singleitem|ididentifiername|equalsexpression|simplelambdaexpression|parameterxitem|ididentifiername|equalsexpression|simplememberaccessexpression|identifiername0xitem|ididentifiername|equalsexpression|simplememberaccessexpression|identifiername1iditem|ididentifiername|equalsexpression|simplelambdaexpression|argument0|argumentlist1|invocationexpression0|simplememberaccessexpression|identifiername1tagsitem|ididentifiername0|simpleassignmentexpression|expressionstatement|block|methoddeclarationmethod_nameconvertidentifiername0|simplememberaccessexpression|identifiername1to|intconvertidentifiername0|simplememberaccessexpression0|invocationexpression|argumentlist1|argument0|simplememberaccessexpression|identifiername1valueconvertidentifiername0|simplememberaccessexpression0|invocationexpression1|simpleassignmentexpression|expressionstatement|block|methoddeclarationmethod_nameto|intidentifiername1|simplememberaccessexpression0|invocationexpression|argumentlist1|argument0|simplememberaccessexpression|identifiername1valueto|intidentifiername1|simplememberaccessexpression0|invocationexpression1|simpleassignmentexpression|expressionstatement|block|methoddeclarationmethod_nametagidentifiername0|simpleassignmentexpression|invocationexpression1|simplememberaccessexpression0|simplememberaccessexpression0|invocationexpression0|simplememberaccessexpression0|identifiername0itemstagidentifiername0|simpleassignmentexpression|invocationexpression1|simplememberaccessexpression0|simplememberaccessexpression0|invocationexpression0|simplememberaccessexpression0|identifiername1singletagidentifiername0|simpleassignmentexpression|invocationexpression1|simplememberaccessexpression0|simplememberaccessexpression0|identifiername1tagstagidentifiername0|simpleassignmentexpression|invocationexpression1|simplememberaccessexpression0|identifiername1firsttagidentifiername0|simpleassignmentexpression|expressionstatement|block|methoddeclarationmethod_nameitemsidentifiername0|simplememberaccessexpression|identifiername1singleitemsidentifiername0|simplememberaccessexpression0|invocationexpression|argumentlist1|argument0|simplelambdaexpression|parameterxitemsidentifiername0|simplememberaccessexpression0|invocationexpression0|simplememberaccessexpression|identifiername1tagsitemsidentifiername0|simplememberaccessexpression0|invocationexpression0|simplememberaccessexpression0|simplememberaccessexpression|identifiername1firstsingleidentifiername1|simplememberaccessexpression0|invocationexpression|argumentlist1|argument0|simplelambdaexpression|parameterxsingleidentifiername1|simplememberaccessexpression0|invocationexpression0|simplememberaccessexpression|identifiername1tagssingleidentifiername1|simplememberaccessexpression0|invocationexpression0|simplememberaccessexpression0|simplememberaccessexpression|identifiername1firstxparameter|simplelambdaexpression|equalsexpression|simplememberaccessexpression|identifiername1idxidentifiername0|simplememberaccessexpression|identifiername1idxparameter|simplelambdaexpression|argument0|argumentlist1|invocationexpression0|simplememberaccessexpression|identifiername1tagsxparameter|simplelambdaexpression|argument0|argumentlist1|invocationexpression0|simplememberaccessexpression0|simplememberaccessexpression|identifiername1firsttagsidentifiername1|simplememberaccessexpression0|simplememberaccessexpression|identifiername1firsttagsidentifiername1|simplememberaccessexpression0|simplememberaccessexpression0|invocationexpression1|simpleassignmentexpression|expressionstatement|block|methoddeclarationmethod_namefirstidentifiername1|simplememberaccessexpression0|invocationexpression1|simpleassignmentexpression|expressionstatement|block|methoddeclarationmethod_namexidentifiername0|simplememberaccessexpression|equalsexpression|simplelambdaexpression|parameterxxparameter|simplelambdaexpression|equalsexpression|simplememberaccessexpression|identifiername0x<em>,stevesandersonms,heavy_check_mark resolution answered| status resolved| area-blazor| blazor-wasm| investigate,2020-03-05
