,RepoID,IssueID,Title_Description,AST,FixedByID,Name,CreatedDate
1910,aspnetcoreWebScrap,1380,renam project json dotnet json sinc new tool dotnet last chanc renam gener name project json dotnet json interest think project json gener name dotnet specif project file contain identifi insid mean project json project spread ide tool go insid gener name file see dotnet project project json propos dotnet json good exampl tsconfig json typescript confus tool,,unknown,unknown,2016-07-04
6416,aspnetcoreWebScrap,1428,add system runtim compilerservic unsaf feed isnt current present feedha improv,,unknown,unknown,2016-07-05
3798,aspnetcoreWebScrap,1553,roadmap document data look like document asp net core roadmap date rc alreadi releas still plan june,,unknown,unknown,2016-07-06
3814,aspnetcoreWebScrap,1555,project json publishopt map work properli rc bug hiim sure post im tri understand map work publishopt project json includ sampl reason includ extra dummi part path get extra file folder includ publishim run ps command root repo dotnet publish src publishfil temp net releas spent time mess around tri get folder includ publish output folder seem way get includ rel path think like doesnt work map extrafil thanksdoug,,unknown,unknown,2016-07-06
3806,aspnetcoreWebScrap,1554,stuck convert rc code rc librarydescript rc use abl get assembl referenc particular assembl exampl assembl load assembl list like soin rc world librarymanag getreferencinglibrari thisassemblynam return enumer librarydescript oppos librari get assembl librarydescript order load api look drastic differ awar assembl replac call iassemblyloadcontextaccessor assembl load desktop clr assemblyloadcontext default load coreclr get assembl name path first place stuck,,unknown,unknown,2016-07-06
4730,aspnetcoreWebScrap,1737,static asset load consist hi host asp net core applic ii face challeng brows applic host static asset style java script file load get bad gateway occur inconsist also occur make browser refresh input would highli appreci kestrel,,unknown,unknown,2016-07-09
4731,aspnetcoreWebScrap,1738,kudu deploy longer run prepublish script gulp task rtm sure appropri repo report pleas direct appropri place abl find discuss issu project json contain followingthi alway ran gulp task fine pre rtm deploy kudu move project rtm gulp task longer execut kudu deploy therefor css minif etc happen build project within vs run task expect someth differ need,,unknown,unknown,2016-07-09
4729,aspnetcoreWebScrap,1736,nodeservic cant pipe result stream chain success callback cant seem pipe result stream success callbackwork fine local deploy azur get taskcancellationexcept exampl project reproduc live exampl full stacktrac miss someth obviou,,unknown,unknown,2016-07-09
5172,aspnetcoreWebScrap,4993,wrong pars color comment razor file inlin tag javiercn decemb repro step creat razor file past follow content first comment color green second one red blue style list stylenon list style typenon ul class list inlin list unstyl style list stylenon list style typenon copi origin issu aspnet tool,,unknown,area-mvc| bug| feature-razor-pages,2016-07-12
3064,aspnetcoreWebScrap,1864,system environ variabl read server asp net core websit work fine local use environ variabl store environ coupl connect string problem local deploy websit server via releas manag xcopi powershel script run administr appropri variabl creat updat server confirm start websit get follow return log start environ report product dont know come aspnetcor environ dev dont use term product anywher code dbl check use term prd even updat default templat code use uatprd instead stage product place appear layout cshtml etc rais stackoverflow question outlin detail issu appear system environ variabl complet ignor thought initi may permiss issu chang applic pool ii run still anyon point direct look issu respond clarifi setup,,unknown,unknown,2016-07-12
