,Name,FixedByID,count
0,3.1-candidate| done| area-servers| enhancement| servers-httpsys,unknown,1
1,5.0-candidate| area-signalr| help wanted,unknown,1
2,[obsolete] cost l| area-mvc| enhancement| feature-code-generation,dougbu,1
3,[obsolete] cost l| area-mvc| enhancement| feature-razor-pages,unknown,1
4,[obsolete] cost l| area-mvc| feature-razor-pages| task,ajaybhargavb,1
5,[obsolete] cost l| area-signalr| blocked| task,unknown,1
6,[obsolete] cost xl| area-mvc,unknown,1
7,accepted| area-mvc| area-signalr,natemcmaster,1
8,accepted| area-servers,jkotalik,1
9,accepted| area-servers| clean-up| cost xs| enhancement| servers-kestrel,davidfowl,1
10,accepted| area-servers| cost m| enhancement,jkotalik,1
11,accepted| area-servers| cost s| enhancement| servers-iis,jkotalik,1
12,accepted| area-servers| cost s| servers-iis,jkotalik,1
13,accepted| area-servers| servers-iis,anurse,1
14,accepted| area-servers| servers-iis,unknown,1
15,accepted| area-servers| servers-kestrel,davidfowl,2
16,accepted| area-servers| servers-kestrel| ?? bedrock,davidfowl,1
17,accepted| area-servers| test-failure,unknown,1
18,accepted| area-signalr,anurse,1
19,accepted| area-signalr,brennanconroy,4
20,accepted| area-signalr,unknown,1
21,accepted| area-signalr| blocked| bug| cost 0,brennanconroy,1
22,accepted| area-signalr| bug| cost s,halter73,1
23,accepted| area-signalr| bug| signalr-client-java| signalr-client-net,mikaelm12| brennanconroy,1
24,accepted| area-signalr| cost s| enhancement,unknown,1
25,accepted| area-signalr| cost xs| enhancement,mikaelm12,1
26,accepted| area-signalr| task,unknown,1
27,accepted| area-signalr| test-failure,mikaelm12,1
28,analyzer| area-blazor| enhancement,unknown,1
29,analyzer| area-mvc| bug,unknown,1
30,analyzer| area-mvc| enhancement,unknown,1
31,analyzer| area-platform| task| test-failure,unknown,1
32,api-approved| area-servers| enhancement,jamesnk,1
33,api-needs-work| area-servers| bug| servers-kestrel,halter73,1
34,area-azure,unknown,2
35,area-blazor,danroth27,8
36,area-blazor,pranavkm,1
37,area-blazor,rynowak,21
38,area-blazor,rynowak| danroth27,1
39,area-blazor,stevesandersonms,16
40,area-blazor,stevesandersonms| danroth27,1
41,area-blazor,unknown,565
42,area-blazor| area-identity| bug,javiercn,1
43,area-blazor| area-mvc| enhancement,unknown,1
44,area-blazor| blazor-wasm,captainsafia,1
45,area-blazor| blazor-wasm,danroth27,1
46,area-blazor| blazor-wasm,javiercn,1
47,area-blazor| blazor-wasm,pranavkm,3
48,area-blazor| blazor-wasm,unknown,23
49,area-blazor| blazor-wasm| bug,ajaybhargavb,1
50,area-blazor| blazor-wasm| bug,javiercn,2
51,area-blazor| blazor-wasm| bug,unknown,2
