,RepoID,IssueID,Title_Description,AST,FixedByID,Name,CreatedDate
5259,aspnetcoreWebScrap,7552,link gener support razor compon need figur want provid way gener link non razor compon thing control action razor page etc context razor compon,,danroth27,done| needs design| area-blazor| enhancement,2019-02-13
5257,aspnetcoreWebScrap,7548,upgrad ii project build platformtoolset vs depend let updat project ancm build visual studio toolset matter updat vcxproj react warn error new toolset find,,unknown,area-servers| clean-up| cost xs,2019-02-13
5255,aspnetcoreWebScrap,7546,downgrad assembl share framework contain assembl older framework result incorrect data baselin file instanc actual latest stabl releas microsoft aspnetcor caus runtim except user target rollforward newer share framework cc dougbu mikaelm eilon,,mikaelm12,done| area-platform,2019-02-13
5258,aspnetcoreWebScrap,7549,upgrad signalr client build platformtoolset vs depend block let updat signalr client build visual studio toolset matter updat vcxproj react warn error new toolset find,,unknown,area-signalr| blocked| cost xs,2019-02-13
5241,aspnetcoreWebScrap,7520,refresh save blazor cshtml visual studio preview creat new blazor compon project visual studio preview solut includ two project projectnam app projectnam server run project chang cshtml file client app project refresh browser isnt updat what wrong,,unknown,area-blazor| cost 0,2019-02-13
5246,aspnetcoreWebScrap,7531,get error linux os net core configur user limit number inotifi instanc reach use net core web project got test case execut use dotnet vstest part ci pipelin linux docker howev execut test case fail sometim error configur user limit number inotifi instanc reach howev run work success sure what go wrong look post use json file startup class also call build main method error messag,,unknown,needs author feedback,2019-02-13
5249,aspnetcoreWebScrap,7534,migrat microsoft aspnetcor dataprotect entityframeworkcor previous implement dataprotect mvc core use file system provid would like migrat use scale multipl server reli filesystem document approach move physic key,,unknown,area-dataprotection| question,2019-02-13
6173,aspnetcoreWebScrap,7554,trim async suffix signalr hub method name see muratg well probabl want sooner later sinc break,,halter73,area-signalr| breaking-change,2019-02-13
5256,aspnetcoreWebScrap,7547,compon support intellisens compon paramet tri consum third parti compon project howev appar current way expos intellisens xml document compon simpli obviou syntax never explicitli specifi class name infer file name therefor typic approach annot name document doesnt work paramet insid function block normal syntax work howev paramet arent design public doesnt get export xml document either cshtml cs file appear retain xml comment describ solut youd like syntax declar compon document exampl new doc direct would trick describ altern youv consid avoid introduc new syntax document could perhap also place insid separ partial class howev would cumbersom appear tool still wouldnt pick anyway addit context one concret exampl blazorstrap bootstrap port razor compon consum compon would feel natur addit document provid part intellisens,<bm>mainvoidpredefinedtype|methoddeclaration|parameterlist|parameter|arraytype|predefinedtypestringvoidpredefinedtype|methoddeclaration|parameterlist|parameterargsvoidpredefinedtype|methoddeclarationmethod_namestringpredefinedtype|arraytype|parameterargsstringpredefinedtype|arraytype|parameter|parameterlist|methoddeclarationmethod_nameargsparameter|parameterlist|methoddeclaration|block|localdeclarationstatement|variabledeclaration|variabledeclaratoruriargsparameter|parameterlist|methoddeclaration|block|expressionstatement|invocationexpression|simplememberaccessexpression0|identifiername0http|clientargsparameter|parameterlist|methoddeclaration|block|expressionstatement|invocationexpression|simplememberaccessexpression0|identifiername1get|asyncargsparameter|parameterlist|methoddeclarationmethod_nameroute|builderidentifiername0|simplememberaccessexpression|identifiername1from|templateroute|builderidentifiername0|simplememberaccessexpression0|invocationexpression|argumentlist1|argument0|stringliteralexpressionapiidroute|builderidentifiername0|simplememberaccessexpression0|invocationexpression0|simplememberaccessexpression|identifiername1withroute|builderidentifiername0|simplememberaccessexpression0|invocationexpression0|simplememberaccessexpression0|invocationexpression|argumentlist1|argument0|stringliteralexpressionidroute|builderidentifiername0|simplememberaccessexpression0|invocationexpression0|simplememberaccessexpression0|invocationexpression|argumentlist1|argument1|numericliteralexpression1route|builderidentifiername0|simplememberaccessexpression0|invocationexpression0|simplememberaccessexpression0|invocationexpression0|simplememberaccessexpression|identifiername1build|urifrom|templateidentifiername1|simplememberaccessexpression0|invocationexpression|argumentlist1|argument0|stringliteralexpressionapiidfrom|templateidentifiername1|simplememberaccessexpression0|invocationexpression0|simplememberaccessexpression|identifiername1withfrom|templateidentifiername1|simplememberaccessexpression0|invocationexpression0|simplememberaccessexpression0|invocationexpression|argumentlist1|argument0|stringliteralexpressionidfrom|templateidentifiername1|simplememberaccessexpression0|invocationexpression0|simplememberaccessexpression0|invocationexpression|argumentlist1|argument1|numericliteralexpression1from|templateidentifiername1|simplememberaccessexpression0|invocationexpression0|simplememberaccessexpression0|invocationexpression0|simplememberaccessexpression|identifiername1build|uriapiidstringliteralexpression|argument0|argumentlist1|invocationexpression0|simplememberaccessexpression|identifiername1withapiidstringliteralexpression|argument0|argumentlist1|invocationexpression0|simplememberaccessexpression0|invocationexpression0|simplememberaccessexpression|identifiername1build|uriwithidentifiername1|simplememberaccessexpression0|invocationexpression|argumentlist1|argument0|stringliteralexpressionidwithidentifiername1|simplememberaccessexpression0|invocationexpression|argumentlist1|argument1|numericliteralexpression1withidentifiername1|simplememberaccessexpression0|invocationexpression0|simplememberaccessexpression|identifiername1build|uriwithidentifiername1|simplememberaccessexpression0|invocationexpression0|simplememberaccessexpression0|invocationexpression|equalsvalueclause|variabledeclaratoruriidstringliteralexpression|argument0|argumentlist|argument1|numericliteralexpression1idstringliteralexpression|argument0|argumentlist1|invocationexpression0|simplememberaccessexpression|identifiername1build|uriidstringliteralexpression|argument0|argumentlist1|invocationexpression0|simplememberaccessexpression0|invocationexpression|equalsvalueclause|variabledeclaratoruri1numericliteralexpression|argument1|argumentlist1|invocationexpression0|simplememberaccessexpression|identifiername1build|uri1numericliteralexpression|argument1|argumentlist1|invocationexpression0|simplememberaccessexpression0|invocationexpression|equalsvalueclause|variabledeclaratoruribuild|uriidentifiername1|simplememberaccessexpression0|invocationexpression|equalsvalueclause|variabledeclaratoruriurivariabledeclarator|variabledeclaration|localdeclarationstatement|block|expressionstatement|invocationexpression|simplememberaccessexpression0|identifiername0http|clienturiidentifiername|argument0|argumentlist1|invocationexpression|simplememberaccessexpression0|identifiername0http|clienturivariabledeclarator|variabledeclaration|localdeclarationstatement|block|expressionstatement|invocationexpression|simplememberaccessexpression0|identifiername1get|asyncuriidentifiername|argument0|argumentlist1|invocationexpression|simplememberaccessexpression0|identifiername1get|asyncurivariabledeclarator|variabledeclaration|localdeclarationstatement|block|methoddeclarationmethod_nameuriidentifiername|argument0|argumentlist1|invocationexpression|expressionstatement|block|methoddeclarationmethod_namehttp|clientidentifiername0|simplememberaccessexpression|identifiername1get|asynchttp|clientidentifiername0|simplememberaccessexpression0|invocationexpression|expressionstatement|block|methoddeclarationmethod_nameget|asyncidentifiername1|simplememberaccessexpression0|invocationexpression|expressionstatement|block|methoddeclarationmethod_name<em>,rynowak,area-blazor| enhancement,2019-02-13
5254,aspnetcoreWebScrap,7545,add launchset json worker templat need add launchset json run commandlin dotnet run get dev config file log work properli otherwis dotnet new worker dotnet run doesnt appear anyth,,tratcher,done| area-hosting| bug,2019-02-13
5248,aspnetcoreWebScrap,7533,question natur accept request bodi plain text want control action accept text plain bodi code fail respons code search guess frombodi attribut tri add call stringinputformatt find stringoutputformatt question actual reason fail stringinputformatt recommend way accept plain text bodi thank lot,<bm>teststringpredefinedtype|typeargumentlist|genericnameaction|resultstringpredefinedtype|parameter|parameterlist|methoddeclaration|genericnameaction|resultstringpredefinedtype|parameter|attributelist|attribute|identifiernamefrom|bodystringpredefinedtype|typeargumentlist|genericname|methoddeclaration|parameterlist|parametercontentstringpredefinedtype|parametercontentstringpredefinedtype|parameter|parameterlist|methoddeclaration|block|returnstatement|invocationexpression|identifiername0okstringpredefinedtype|typeargumentlist|genericname|methoddeclarationmethod_namestringpredefinedtype|parameter|parameterlist|methoddeclarationmethod_nameaction|resultgenericname|methoddeclaration|parameterlist|parameter|attributelist|attribute|identifiernamefrom|bodyaction|resultgenericname|methoddeclaration|parameterlist|parametercontentaction|resultgenericname|methoddeclarationmethod_namefrom|bodyidentifiername|attribute|attributelist|parametercontentfrom|bodyidentifiername|attribute|attributelist|parameter|parameterlist|methoddeclarationmethod_namecontentparameter|parameterlist|methoddeclaration|block|returnstatement|invocationexpression|identifiername0okcontentidentifiername|argument0|argumentlist1|invocationexpression|identifiername0okcontentparameter|parameterlist|methoddeclarationmethod_namecontentidentifiername|argument0|argumentlist1|invocationexpression|returnstatement|block|methoddeclarationmethod_nameokidentifiername0|invocationexpression|returnstatement|block|methoddeclarationmethod_namestringpredefinedtype|parameter|parameterlist|methoddeclaration|genericname|typeargumentlist|predefinedtypestringstringpredefinedtype|typeargumentlist|genericname|methoddeclaration|parameterlist|parameter|predefinedtypestring<em>,unknown,area-mvc,2019-02-13
5247,aspnetcoreWebScrap,7532,question realiz file download razor compon hi way realiz file download user click button browser get file download prompt thank sven,,unknown,area-mvc| question,2019-02-13
5253,aspnetcoreWebScrap,7541,signalr support servicework featur request relat problem pleas describ look like signalr javascript bundl support servicework due lack xmlhttprequest object sw scope describ solut youd like provid addit httpclient implement use fetch primit instead describ altern youv consid altern addit context,,unknown,area-signalr,2019-02-13
6176,aspnetcoreWebScrap,7562,question set accessor rolemanag store privat set accessor usermanag store question review rolemanag usermanag found store properti two class design differ rolemanag store privat set accessor usermanag store normal set accessor rolemanag store intern decor usermanag store anyon clarifi littl bit intend design careless mistak would prefer store properti two class normal set accessor chang deriv class intern decor,,unknown,area-identity,2019-02-14
6183,aspnetcoreWebScrap,7570,compon correct eventhandl entri eventhandl cs incorrect eventhandl entri start incorrect lack necessari prefix event name mean cant regist pointer event normal razor code regist rendertreebuild directli use render fragment workaround,,pranavkm,done| area-blazor| bug| cost xs,2019-02-14
