,RepoID,IssueID,Title_Description,AST,FixedByID,Name,CreatedDate
1578,aspnetcoreWebScrap,5375,whether connect server execut follow code show follow log com mango demo system hubconnect close callback ran tell whether connect server,<bm>mainvoidpredefinedtype|methoddeclaration|parameterlist|parameter|arraytype|predefinedtypestringvoidpredefinedtype|methoddeclaration|parameterlist|parameterargsvoidpredefinedtype|methoddeclarationmethod_namestringpredefinedtype|arraytype|parameterargsstringpredefinedtype|arraytype|parameter|parameterlist|methoddeclarationmethod_nameargsparameter|parameterlist|methoddeclaration|block|expressionstatement|invocationexpression|simplememberaccessexpression0|identifiername0appargsparameter|parameterlist|methoddeclaration|block|expressionstatement|invocationexpression|simplememberaccessexpression0|identifiername1use|spaargsparameter|parameterlist|methoddeclarationmethod_nameenvidentifiername0|simplememberaccessexpression|identifiername1is|developmentenvidentifiername0|simplememberaccessexpression|identifiername1is|developmentenvidentifiername0|simplememberaccessexpression0|invocationexpression|ifstatement|block|simplelambdaexpression|parameterspaenvidentifiername0|simplememberaccessexpression0|invocationexpression|ifstatement|block|expressionstatement|simpleassignmentexpression|stringliteralexpression1client|appenvidentifiername0|simplememberaccessexpression0|invocationexpression|logicalnotexpression|ifstatement|block|methoddeclarationmethod_nameis|developmentidentifiername1|simplememberaccessexpression0|invocationexpression|ifstatement|block|simplelambdaexpression|parameterspais|developmentidentifiername1|simplememberaccessexpression0|invocationexpression|ifstatement|block|expressionstatement|simpleassignmentexpression|stringliteralexpression1client|appis|developmentidentifiername1|simplememberaccessexpression0|invocationexpression|logicalnotexpression|ifstatement|block|methoddeclarationmethod_namefrontend|appidentifiername0|simplememberaccessexpression|identifiername1use|spa|static|filesfrontend|appidentifiername0|simplememberaccessexpression0|invocationexpression|expressionstatement|block|ifstatement|block|methoddeclarationmethod_nameuse|spa|static|filesidentifiername1|simplememberaccessexpression0|invocationexpression|expressionstatement|block|ifstatement|block|methoddeclarationmethod_nameappidentifiername0|simplememberaccessexpression|identifiername1use|spaappidentifiername0|simplememberaccessexpression0|invocationexpression|argumentlist1|argument0|simplelambdaexpression|parameterspaappidentifiername0|simplememberaccessexpression0|invocationexpression|expressionstatement|block|methoddeclarationmethod_nameuse|spaidentifiername1|simplememberaccessexpression0|invocationexpression|argumentlist1|argument0|simplelambdaexpression|parameterspause|spaidentifiername1|simplememberaccessexpression0|invocationexpression|expressionstatement|block|methoddeclarationmethod_namespaparameter|simplelambdaexpression|block|expressionstatement|simpleassignmentexpression|simplememberaccessexpression0|simplememberaccessexpression0|identifiername1optionsspaidentifiername0|simplememberaccessexpression|identifiername1optionsspaparameter|simplelambdaexpression|block|expressionstatement|simpleassignmentexpression|simplememberaccessexpression0|identifiername1source|pathspaidentifiername0|simplememberaccessexpression0|simplememberaccessexpression|identifiername1source|pathspaparameter|simplelambdaexpression|block|expressionstatement|simpleassignmentexpression|stringliteralexpression1client|appspaidentifiername0|simplememberaccessexpression0|simplememberaccessexpression0|simpleassignmentexpression|stringliteralexpression1client|appspaidentifiername0|simplememberaccessexpression|identifiername1use|proxy|to|spa|development|serverspaidentifiername0|simplememberaccessexpression0|invocationexpression|argumentlist1|argument0|namecolon|identifiernamebase|urispaidentifiername0|simplememberaccessexpression0|invocationexpression|argumentlist1|argument0|stringliteralexpressionhttplocalhostspaparameter|simplelambdaexpression|argument0|argumentlist1|invocationexpression|expressionstatement|block|methoddeclarationmethod_nameoptionsidentifiername1|simplememberaccessexpression0|simplememberaccessexpression|identifiername1source|pathoptionsidentifiername1|simplememberaccessexpression0|simplememberaccessexpression0|simpleassignmentexpression|stringliteralexpression1client|appsource|pathidentifiername1|simplememberaccessexpression0|simpleassignmentexpression|stringliteralexpression1client|appuse|proxy|to|spa|development|serveridentifiername1|simplememberaccessexpression0|invocationexpression|argumentlist1|argument0|namecolon|identifiernamebase|uriuse|proxy|to|spa|development|serveridentifiername1|simplememberaccessexpression0|invocationexpression|argumentlist1|argument0|stringliteralexpressionhttplocalhostbase|uriidentifiername|namecolon|argument|stringliteralexpressionhttplocalhostspaidentifiername0|simplememberaccessexpression0|simplememberaccessexpression0|simpleassignmentexpression|expressionstatement|block|simplelambdaexpression|parameterspaspaparameter|simplelambdaexpression|block|expressionstatement|simpleassignmentexpression|simplememberaccessexpression0|simplememberaccessexpression0|identifiername0spaspause|angular|cli|servernpm|scriptcommentspause|angular|cli|servernpm|scriptstartcommentstart<em>,unknown,area-signalr,2018-05-11
5140,aspnetcoreWebScrap,4932,discuss make pubintern type mvc intern asp net core pubintern type type declar public put intern namespac type public support polici subject break chang unfortun accid use type common result break chang project limit abil maintain framework asp net core updat pubintern type mvc either public support namespac intern appropri includ type follow namespac microsoft aspnetcor mvc formatt xml intern microsoft aspnetcor mvc cor intern microsoft aspnetcor mvc viewfeatur intern microsoft aspnetcor mvc formatt json intern microsoft aspnetcor mvc razorpag intern microsoft aspnetcor mvc dataannot intern microsoft aspnetcor mvc taghelp intern microsoft aspnetcor mvc intern microsoft aspnetcor mvc razor intern microsoft aspnetcor mvc formatt intern microsoft aspnetcor mvc core intern microsoft aspnetcor mvc modelbind intern specif type namespac critic applic plea file issu consid make request type public,,unknown,area-mvc| discussion,2018-05-11
4272,aspnetcoreWebScrap,3881,test failur buildincr issu made automat problem contact ryanbrandenburg test fail follow error test within build may fail similar messag list check link info test fail relea cc eilon,,ryanbrandenburg| mkartakmsft,test-failure,2018-05-11
3471,aspnetcoreWebScrap,5627,unabl link system identitymodel token jwt ad way get around prevent use packag,,unknown,external| area-blazor,2018-05-11
2484,aspnetcoreWebScrap,4641,share auth cooki net net core cooki authent failur messag unprotect ticket fail im incr difficult time get auth cooki made net work net core follow onlin microsoft document successs site url like site mysit local site mysit local net core site ad follow code startup class net site mysit local also chang constant valu string valu make easier follow exampl ive gone document ive abl find noth given clue help give would greatli appreci thank,,unknown,area-security,2018-05-11
1538,aspnetcoreWebScrap,4437,intermitt error asp net core applic rai possibl relat intermitt run test suit exist asp net core applic port asp net core process ii host request fail applic host amazon ec instanc run window server core specif request fail http get request asp net applic act proxi asp net core applic request made standard http use httpclient rather http least explicitli flow test follow perform http get entiti return http perform http post entiti return http perform http get valid http post took effect inspect respon request valid post made within asp net proxi applic follow except occur,,unknown,area-servers| servers-iis,2018-05-12
682,aspnetcoreWebScrap,4418,use urlhelp viewcontext result except describ bug updat instanc urlhelp start throw argumentoutofrangeexcept index rang except happen urlhelp initi use viewcontext exampl view,,jamesnk,area-mvc,2018-05-12
689,aspnetcoreWebScrap,4431,av load hostfxr fail stdout enabl origin issu seem problem fileoutputmanag debug log,,jkotalik,accepted| area-servers| cost s| servers-iis,2018-05-12
686,aspnetcoreWebScrap,4426,gener host entiti framework log configur im sure proper place log issu im use gener host builder construct host local servic log configur log level error across board work except ef core still log info level suspect ef use separ logger someth differ need tell ef use log configur rest applic code host final get log notic ara log info level like ef also log info log error imag,,unknown,unknown,2018-05-12
681,aspnetcoreWebScrap,4417,resolv root cau defaultapplicationmodelprovidertest test failur describ bug follow mvc test fail week use korebuild build,,pranavkm,done| area-mvc| cost s| task| test-failure,2018-05-12
683,aspnetcoreWebScrap,4419,way get hierarch valu azur portal applic set want get connect string secret valu applic set connect string tab azur app servic portal dont want use file configur provid store connect string sourc control use keyvault servic slot reason know azurekeyvault servic abl use two dash way,,unknown,unknown,2018-05-12
684,aspnetcoreWebScrap,4421,system componentmodel win except success execut command dotnet publish linux give follow output system componentmodel win except success system diagnost process ensuresigchildhandl system diagnost process startcor processstartinfo startinfo system diagnost process start microsoft dotnet cli util processstartinfoexten execut processstartinfo startinfo microsoft dotnet tool restoringcommand execut microsoft dotnet tool publish publishcommand run string arg microsoft dotnet cli program processarg string arg itelemetri telemetrycli microsoft dotnet cli program main string arg mean seem build net core sdk reflect global json version commit runtim environ os name linux os version os platform linux rid linux base path home forceitu dotnet sdk host use support version commit fed net core sdk instal home forceitu dotnet sdk net core runtim instal microsoft aspnetcor home forceitu dotnet share microsoft aspnetcor microsoft aspnetcor app home forceitu dotnet share microsoft aspnetcor app microsoft netcor app home forceitu dotnet share microsoft netcor app instal addit net core runtim sdk,,unknown,unknown,2018-05-12
