,RepoID,IssueID,Title_Description,AST,FixedByID,Name,CreatedDate
4466,aspnetcoreWebScrap,94,increa workerthread completionportthread default helio default valu thread pool seem realli low helio person get workerthread completionportthread core machin core hyper thread enabl core asp net web form app run ii express machin come far higher default valu workerthread completionportthread consid increa valu get rid weird except invalidoperationexcept enough free thread threadpool complet oper meantim manual call threadpool setmaxthread higher valu trick,,unknown,unknown,2014-01-07
4579,aspnetcoreWebScrap,135,miss link alpha relea url shown alpha relea websocketabstract point exist,,unknown,bug,2014-01-09
198,aspnetcoreWebScrap,153,catalogu github com aspnet repositori home home project would good place catalogu quick intro everi project aspnet github account involv vnext one could summari link repositori index would help peopl understand relationship compon glanc,,unknown,unknown,2014-01-10
1976,aspnetcoreWebScrap,154,creat ubuntu debian ppa repo easi get start play around vnext window look feedback platform realli easier instal sake test also demonstr commit make vnext avail non microsoft platform accomplish think set ppa runtim system level depend linux satisfi consid less effort curiou end user would adopt might matter creat packag also add suggest repositori found instal kvm kre signif number linux user reli mechnism obtain softwar come expect reput project vnext still develop think import distribut mechan establish still earli day,,unknown,unknown,2014-01-10
5205,aspnetcoreWebScrap,5855,expo httprequestinfotypesslprotocol http request prequestinfo point array http request info request one new item httprequestinfotypesslprotocol pinfo field http ssl protocol info structur outlin havent found constant definit yet interpret data though,,tratcher,done| area-servers| cost s| enhancement| servers-httpsys,2014-01-12
7084,aspnetcoreWebScrap,8,secur viru scanner claim microsoft codeanalysi csharp dll viru fsecur vs dotnet,,unknown,unknown,2014-03-05
6394,aspnetcoreWebScrap,137,osx cant termin process via ctrl webserv start alpha mono osx run zsh cant kill process via ctrl webserv start interestingli though ctrl work fine kind error occur port alreadi use,,unknown,unknown,2014-03-09
3783,aspnetcoreWebScrap,155,remov requir project specifi type process theyll run per davidfowl right set project json thisif alreadi possibl id love either point see document provid suggest customiz forc app know kind server run wsgi requir applic awar alter behaviour base server run hope strive imagin boilerplatey list server could get someon want ensur app could run anyth would basic static list everi server implement sun,,unknown,unknown,2014-03-10
1909,aspnetcoreWebScrap,138,mono linux mint wont run sampl hii follow instruct instal mono clone repo could run sampl kpm restor output helloweb,<bm>create|useruseridentifiername|variabledeclaration|variabledeclarator|equalsvalueclause|objectcreationexpression|objectinitializerexpression|simpleassignmentexpression|identifiername0nameuseridentifiername|variabledeclaration|variabledeclarator|equalsvalueclause|objectcreationexpression|objectinitializerexpression|simpleassignmentexpression|stringliteralexpression1my|nameuseridentifiername|variabledeclaration|variabledeclarator|equalsvalueclause|objectcreationexpression|objectinitializerexpression|simpleassignmentexpression|identifiername0addressuseridentifiername|variabledeclaration|variabledeclarator|equalsvalueclause|objectcreationexpression|objectinitializerexpression|simpleassignmentexpression|stringliteralexpression1my|addressuseridentifiername|variabledeclaration|variabledeclaratoruseruseridentifiername|objectcreationexpression|equalsvalueclause|variabledeclaratoruseruseridentifiername|variabledeclaration|localdeclarationstatement|block|returnstatement|identifiernameuseruseridentifiername|methoddeclarationmethod_nameuseridentifiername|variabledeclaration|localdeclarationstatement|block|methoddeclarationmethod_nameuseridentifiername|objectcreationexpression|equalsvalueclause|variabledeclarator|variabledeclaration|localdeclarationstatement|block|methoddeclarationmethod_namenameidentifiername0|simpleassignmentexpression|stringliteralexpression1my|namenameidentifiername0|simpleassignmentexpression|objectinitializerexpression|simpleassignmentexpression|identifiername0addressnameidentifiername0|simpleassignmentexpression|objectinitializerexpression|simpleassignmentexpression|stringliteralexpression1my|addressnameidentifiername0|simpleassignmentexpression|objectinitializerexpression|objectcreationexpression|equalsvalueclause|variabledeclaratorusermy|namestringliteralexpression1|simpleassignmentexpression|objectinitializerexpression|simpleassignmentexpression|identifiername0addressmy|namestringliteralexpression1|simpleassignmentexpression|objectinitializerexpression|simpleassignmentexpression|stringliteralexpression1my|addressmy|namestringliteralexpression1|simpleassignmentexpression|objectinitializerexpression|objectcreationexpression|equalsvalueclause|variabledeclaratoruseraddressidentifiername0|simpleassignmentexpression|stringliteralexpression1my|addressaddressidentifiername0|simpleassignmentexpression|objectinitializerexpression|objectcreationexpression|equalsvalueclause|variabledeclaratorusermy|addressstringliteralexpression1|simpleassignmentexpression|objectinitializerexpression|objectcreationexpression|equalsvalueclause|variabledeclaratoruseruservariabledeclarator|variabledeclaration|localdeclarationstatement|block|methoddeclarationmethod_nameuseridentifiername|returnstatement|block|methoddeclarationmethod_nameuseridentifiername|objectcreationexpression|equalsvalueclause|variabledeclarator|variabledeclaration|identifiernameuseruseridentifiername|variabledeclaration|variabledeclarator|equalsvalueclause|objectcreationexpression|identifiernameuseruseridentifiername|returnstatement|block|localdeclarationstatement|variabledeclaration|variabledeclaratoruseruservariabledeclarator|variabledeclaration|localdeclarationstatement|block|returnstatement|identifiernameuser<em>,unknown,unknown,2014-04-09
6164,aspnetcoreWebScrap,6,pack produc error system nullreferenceexcept complet step describ insid readm project discov stuff command line usag ran pack see output bin output directori im get follow except end command system nullreferenceexcept object refer set instanc obj ect microsoft net project pack packruntim emit packroot root microsoft net project pack packroot emit microsoft net project packmanag packag microsoft net project program main string arg consol output got run pack log txt klr exe inform roothost load name microsoft net project klr exe inform roothost assembl loadfil user tugberk packag projectk alpha tool net microsoft net project dll klr exe inform roothost load name microsoft net runtim klr exe inform roothost assembl loadfil user tugberk packag projectk alpha tool net microsoft net runtim dll klr exe inform roothost load name newtonsoft json klr exe inform roothost assembl loadfil user tugberk packag projectk alpha tool net newtonsoft json dll klr exe inform walk depend graph hellowebfx netframeworkv klr exe inform projectreferencedependencyprovid hellowebfx alpha snapshot klr exe inform nugetdependencyresolv microsoft aspnet abstract alpha microsoft aspnet host alpha microsoft aspnet server weblisten alpha microsoft aspnet dependencyinject alpha microsoft aspnet requestcontain alpha microsoft aspnet rout alpha microsoft componentmodel dataannot microsoft aspnet mvc modelbind alpha microsoft aspnet mvc core alpha microsoft aspnet mvc alpha microsoft aspnet mvc razor alpha microsoft aspnet configurationmodel alpha microsoft aspnet diagnost alpha microsoft aspnet featuremodel alpha microsoft aspnet pipelinecor alpha microsoft aspnet secur dataprotect alpha microsoft net runtim interfac alpha microsoft aspnet httpfeatur alpha microsoft aspnet log alpha common newtonsoft json microsoft aspnet filesystem alpha microsoft aspnet mvc razor host alpha microsoft aspnet razor alpha microsoft bcl immut beta microsoft codeanalysi common beta microsoft codeanalysi csharp beta system reflect metadata ecma beta klr exe inform roothost load name microsoft net runtim resourc klr exe inform roothost load name microsoft net runtim resourc klr exe inform roothost load name microsoft net runtim resourc klr exe inform roothost load name microsoft net runtim resourc klr exe inform referenceassemblydependencyresolv system componentmodel dataannot mscorlib system system core microsoft csharp klr exe inform resolv depend hellowebfx ms copi output path app nda preview sampl hellowebfx bin output pack nupkg depend microsoft aspnet abstract alpha app nda preview sampl hellowebfx bin output packag microsoft aspnet abstract alpha alreadi exist pack nupkg depend microsoft aspnet host alpha app nda preview sampl hellowebfx bin output packag microsoft aspnet host alpha alreadi exist pack nupkg depend microsoft aspnet server weblisten alpha app nda preview sampl hellowebfx bin output packag microsoft aspnet server weblisten alpha alreadi exist pack nupkg depend microsoft aspnet dependencyinject alpha app nda preview sampl hellowebfx bin output packag microsoft aspnet dependencyinject alpha alreadi exist pack nupkg depend microsoft aspnet requestcontain alpha app nda preview sampl hellowebfx bin output packag microsoft aspnet requestcontain alpha alreadi exist pack nupkg depend microsoft aspnet rout alpha app nda preview sampl hellowebfx bin output packag microsoft aspnet rout alpha alreadi exist pack nupkg depend microsoft componentmodel dataannot app nda preview sampl hellowebfx bin output packag microsoft componentmodel dataannot alreadi exist pack nupkg depend microsoft aspnet mvc modelbind alpha app nda preview sampl hellowebfx bin output packag microsoft aspnet mvc modelbind alpha alreadi exist pack nupkg depend microsoft aspnet mvc core alpha app nda preview sampl hellowebfx bin output packag microsoft aspnet mvc core alpha alreadi exist pack nupkg depend microsoft aspnet mvc alpha app nda preview sampl hellowebfx bin output packag microsoft aspnet mvc alpha alreadi exist pack nupkg depend microsoft aspnet mvc razor alpha app nda preview sampl hellowebfx bin output packag microsoft aspnet mvc razor alpha alreadi exist pack nupkg depend microsoft aspnet configurationmodel alpha app nda preview sampl hellowebfx bin output packag microsoft aspnet configurationmodel alpha alreadi exist pack nupkg depend microsoft aspnet diagnost alpha app nda preview sampl hellowebfx bin output packag microsoft aspnet diagnost alpha alreadi exist pack nupkg depend microsoft aspnet featuremodel alpha app nda preview sampl hellowebfx bin output packag microsoft aspnet featuremodel alpha alreadi exist pack nupkg depend microsoft aspnet pipelinecor alpha app nda preview sampl hellowebfx bin output packag microsoft aspnet pipelinecor alpha alreadi exist pack nupkg depend microsoft aspnet secur dataprotect alpha app nda preview sampl hellowebfx bin output packag microsoft aspnet secur dataprotect alpha alreadi exist pack nupkg depend microsoft net runtim interfac alpha app nda preview sampl hellowebfx bin output packag microsoft net runtim interfac alpha alreadi exist pack nupkg depend microsoft aspnet httpfeatur alpha app nda preview sampl hellowebfx bin output packag microsoft aspnet httpfeatur alpha alreadi exist pack nupkg depend microsoft aspnet log alpha app nda preview sampl hellowebfx bin output packag microsoft aspnet log alpha alreadi exist pack nupkg depend common app nda preview sampl hellowebfx bin output packag common alreadi exist pack nupkg depend newtonsoft json app nda preview sampl hellowebfx bin output packag newtonsoft json alreadi exist pack nupkg depend microsoft aspnet filesystem alpha app nda preview sampl hellowebfx bin output packag microsoft aspnet filesystem alpha alreadi exist pack nupkg depend microsoft aspnet mvc razor host alpha app nda preview sampl hellowebfx bin output packag microsoft aspnet mvc razor host alpha alreadi exist pack nupkg depend microsoft aspnet razor alpha app nda preview sampl hellowebfx bin output packag microsoft aspnet razor alpha alreadi exist pack nupkg depend microsoft bcl immut beta app nda preview sampl hellowebfx bin output packag microsoft bcl immut beta alreadi exist pack nupkg depend microsoft codeanalysi common beta app nda preview sampl hellowebfx bin output packag microsoft codeanalysi common beta alreadi exist pack nupkg depend microsoft codeanalysi csharp beta app nda preview sampl hellowebfx bin output packag microsoft codeanalysi csharp beta alreadi exist pack nupkg depend system reflect metadata ecma beta app nda preview sampl hellowebfx bin output packag system reflect metadata ecma beta alreadi exist pack project depend hellowebfx sourc app nda preview sampl hellowebfx target app nda preview sampl hellowebfx bin output hellowebfx load modul klr net dll found dll export callapplicationmain,,unknown,unknown,2014-04-27
