,RepoID,IssueID,Title_Description,AST,FixedByID,Name,CreatedDate
1094,azure-powershellWebScrap,558,new azurereservedip longer work powershel errornew azurereservedip method found voidmicrosoft windowsazur manag network model networkreservedipcreateparamet set virtualipnam system string line char new azurereservedip reservedipnam myserv ip label server ip locat categoryinfo notspecifi new azurereservedip missingmethodexcept fullyqualifiederrorid system missingmethodexceptionmicrosoft windowsazur command servicemanag iaa new azurereservedipcmdlet detail pleas see tfsbridg tfsid,,unknown,network| service attention,1/7/2015
2153,azure-powershellWebScrap,832,support medialink set azureplatformextens current set azureplatformextens doesnt take medialink publish new version vm extens new bit tfsbridg tfsid,,singhkays,compute| service attention,1/9/2015
1271,azure-powershellWebScrap,1386,get azurermnetworksecuritygroup erroract ignor run get azurermnetworksecuritygroup use erroract paramet ignor exampl runget azurermnetworksecuritygroup name test resourcegroupnam testrg erroract silentlycontinueit return error want return noth possibl useget azurermnetworksecuritygroup resourcegroupnam testrg object properti name eq valu testhowev return group filter tfsbridg tfsid,,unknown,network| service attention,1/12/2015
1269,azure-powershellWebScrap,1384,azurerm cmdlet return object json like format run exampl get azurermvm follow return imag reason azur team decid go json like view return object make incred hard read output json simpli bad choic consum human implement proper output object use powershel format file format ps xml tfsbridg tfsid,,singhkays,compute| network| service attention,1/12/2015
1268,azure-powershellWebScrap,1380,set reversefqdn new azurermpublicipaddress order set reversefqdn new public ip reversefqdn need alreadi regist azur ip mean workflow creat new reversefqdn new servic convolut call new azurermpublicipaddress without reversefqdn regist ip address fqdn requir call new azurermpublicipaddress reversefqdn regist regist ip address alloc fqdn delet ip address regist need abil creat verifi domain name authoris creat reversefqdn awverifi exampl com point subscript level azur resourc allow reversefqdn creat realis probabl outsid scope azur powershel specif im hope workaround tfsbridg tfsid,,unknown,network| service attention,1/12/2015
1270,azure-powershellWebScrap,1385,get azurevm fail unabl find type microsoft azur common authent model azureprofil get azurevm fail unabl find type microsoft azur common authent model azureprofil even simpl callget azurevm like thisp window system get azurevmget azurevm unabl find type microsoft azur common authent model azureprofil line char get azurevm categoryinfo invalidoper microsoft azur ls azureprofiletypenam runtimeexcept fullyqualifiederrorid typenotfound,,unknown,unknown,1/12/2015
276,azure-powershellWebScrap,93,test azuretrafficmanagerdomainnam pleas deprec favor test azurenam azur powershel modul im run test azurenam command test avail valid global uniqu dn name azur cloud servic azur storag account azur servicebu namespac azur websiteshowev azur traffic manag featur separ command dedic test avail global uniqu traffic manag dn name call test azuretrafficmanagerdomainnam separ command traffic manag inconsist end user experi function offer merg test azurenam command feel free mail question input topic cheerstrevor sullivanmicrosoft mvp powershel tfsbridg tfsid,,unknown,unknown,1/16/2015
1192,azure-powershellWebScrap,95,error occur command execut command result gener error messageprevi discuss tfsbridg tfsid,,guangyang,unknown,1/16/2015
1206,azure-powershellWebScrap,96,displayxml get azurevm produc sub optim output default updat displayxml creat better output see detail look like get displayxml someon want help im happi fork updat offer pull thoma lee doctordn gmail com tfsbridg tfsid,,unknown,unknown,1/19/2015
1554,azure-powershellWebScrap,97,new azureschedulerstoragequeuejob ignor storagequeuemessag paramet bodi storag queue job creat cmdlet new azureschedulerstoragequeuejob alway empti regardless valu set storagequeuemessag paramet microsoft windowsazur command util schedul schedulermgmntclientcreatestoragejob look like creat messag referenc bodi properti pscreatejobparam object use storagequeuemessag storagequeuemessag paramet handl correctli set azureschedulerstoragequeuemessag cmdlet workaround creat job new updat correct storag queue messag use set tfsbridg tfsid,,unknown,scheduler| service attention,1/19/2015
1591,azure-powershellWebScrap,115,azurep azur virtual machin command silent fail say instanc run window window manag framework core novemb preview powershel microsoft azur powershel modul version follow configur authent azur use add azureaccount command powershel credenti paramet use azur activ directori aad organiz account account authent azur co administr access one azur platform subscript one two subscript cloud servic azur virtual machin provis run insid final perform follow step use select azuresubscript command select azur subscript cloud servic virtual machin call stop azurevm export azurevm command cloud servic virtual machin eg stop azurevm servicenam mycloudsvc name vm forc error except thrown command silent return add verbos paramet either command still output emit somehow magic realiz wrong subscript select begin rip hair select correct azur subscript proceed normal given previou scenario possibl thrown except specifi cloud servic virtual machin found vm relat command seem like poor design silent fail without notifi end user occur background resolv cheer trevor sullivan microsoft mvp powershel tfsbridg tfsid,,huangpf,unknown,1/27/2015
0,azure-powershellWebScrap,120,get azureaccount ignor name paramet ive tri behavior way two problemsa get azureaccount option ask name account id suppos find name pass name get azureaccount suppos make return account instead appear ignor account return matter name pass repro sign multipl azur account sign org msid account get azureaccountid type subscript tenant account hotmail com user account microsoft com user problem notic name properti list account find tri pass particular account name current assum id account microsoft com get azureaccount name account microsoft comid type subscript tenant account hotmail com user account microsoft com user problem still gave account expect either return specifi account return null except account name found tfsbridg tfsid,,unknown,unknown,1/27/2015
297,azure-powershellWebScrap,122,microsoft azur china differ endpoint microsoft azur china differ endpoint tfsbridg tfsid,,unknown,unknown,1/28/2015
298,azure-powershellWebScrap,124,get azurerol respect erroract subscript number cloud servic dont deploy empti servic tri collect info cloud servic role even use erroract silentlycontinu block empti deploy still get termin error get azureservic get azurerol erroract silentlycontinuerolenam eventsourceinfo webserviceinstancecount deploymentid deploy idservicenam servicenameoperationdescript get azureroleoperationid oper idoperationstatu succeededget azurerol resourcenotfound deploy found line char get azureservic get azurerol erroract silentlycontinu categoryinfo notspecifi get azurerol cloudexcept fullyqualifiederrorid microsoft windowsazur cloudexceptionmicrosoft windowsazur command servicemanag hostedservic getazurerolecommandanyway use get azuredeploy everyth work expect get azureservic get azuredeploy erroract silentlycontinu select deploymentnam deploymentnamedeploy deploy tfsbridg tfsid,,unknown,compute| service attention,1/29/2015
299,azure-powershellWebScrap,125,add azureaccount doesnt like credenti pass cred object password ampersand password seem get mung auth fail tri securepass convertto securestr string foobar forc asplaintext cred new object system manag autom pscredenti test microsoft com securepass add azureaccount credenti cred note use add azureaccount interact set cred work fine tfsbridg tfsid,,unknown,azure ps team,1/30/2015
300,azure-powershellWebScrap,126,add azureaccount doesnt like credenti pass cred object password ampersand password seem get mung auth fail tri securepass convertto securestr string foobar forc asplaintext cred new object system manag autom pscredenti test microsoft com securepass add azureaccount credenti cred note use add azureaccount interact set cred work fine tfsbridg tfsid,,unknown,unknown,1/30/2015
596,azure-powershellWebScrap,128,get azureresourcegallerytempl doesnt like filter return templat galleri categoryid ps get azureresourcegroupgallerytempl ident microsoft websitedeploy preview also return templat doesnt ps get azureresourcegroupgallerytempl object categoryid like show tri broader filter get result tfsbridg tfsid,,unknown,arm| service attention,1/30/2015
1997,azure-powershellWebScrap,317,find configur site diagnost websit diagnost configur site applic diagnost im look cmdlet featur list abl set applic log success howev hit roadblock find correspond cmdlet site diagnost expect paramet includ web server log storag file system detail error messag fail request trace tfsbridg tfsid,,unknown,app services| service attention,2/4/2015
1100,azure-powershellWebScrap,559,arm add switch get top level resourc call get azureresourc someth like get azureresourc gettoplevel move azureresourc would help move top level resourc like microsoft sql server instead includ server databas well tfsbridg tfsid,,unknown,arm| more info label| service attention,2/7/2015
2479,azure-powershellWebScrap,839,add azureaccount honor activedirectoryserviceendpointresourceid provid add azureenviron repro issu add azureenviron custom valu activedirectoryserviceendpointresourceid add azureaccount serviceprincip likeadd azureaccount serviceprincip tenant xx dd eb xxxx credenti mycr environ customenv fail error codeauthenticationfailedmessageth access token obtain wrong audienc resourc exactli match includ forward slash one allow audienc note add azureenviron without specifi serviceprincip work fine need serviceprincip autom purpos tfsbridg tfsid,,unknown,azure ps team,2/9/2015
1272,azure-powershellWebScrap,1394,new azurermresourcegroupdeploy enough free thread threadpool complet oper got issu mani time deploy templat new azurermresourcegroupdeploy enough free thread threadpool complet oper line char new azurermresourcegroupdeploy resourcegroupnam geoexperi categoryinfo notspecifi new azurermresourcegroupdeploy invalidoperationexcept fullyqualifiederrorid system invalidoperationexceptionmicrosoft azur command resourc newazureresourcegroupdeploymentcommandit seem client side issu deploy kept go even powershel consol stop error messag tfsbridg tfsid,,ravbhatnagar,arm| service attention,2/12/2015
1273,azure-powershellWebScrap,1396,inconsist use get azurerm item across provid provid implement basic getter function differ instanc get azurermdnszon requir resourcegroup paramet cmdlet get azurermvm get azurermwebapp make hard use cmdlet sinc usag pattern vari across variou provid tfsbridg tfsid,,unknown,app services| compute| network| service attention,2/12/2015
1812,azure-powershellWebScrap,71,bad error new azureresourcegroup templatefil found run follow command turn use window powershel ise wrong directori couldnt fine templatefil would nice cmdlet rais error miss templatefil rather error unknown paramet tfsbridg tfsid,,unknown,arm| service attention,3/1/2015
49,azure-powershellWebScrap,218,new azurewebsit let connect privat github repositori id like creat new azur websit privat github repositori belong organ im member ran follow transcript instead websit creat prompt pick public repositori belong organ would also like abil specifi branch github repositori websit deploy tfsbridg tfsid,,unknown,app services| service attention,3/3/2015
44,azure-powershellWebScrap,217,new azurewebsit let specifi sku consum alloc free tier websit invoc new azurewebsit fail would like creat new basic standard websit use new azurewebsit tfsbridg tfsid,,unknown,unknown,3/3/2015
1747,azure-powershellWebScrap,460,set azureapplicationgatewayconfig throw object refer set instanc object error use version msi instal cmdlet set azureapplicationgatewayconfigmod asmoutput tfsbridg tfsid,,unknown,network| service attention,3/6/2015
1748,azure-powershellWebScrap,461,set azureapplicationgatewayconfig xml file throw internalerror use version msi instal cmdlet set azureapplicationgatewayconfig name appgwtest configfil config xmlmode asmoutput tfsbridg tfsid,,unknown,network| service attention,3/6/2015
1738,azure-powershellWebScrap,458,get azureapplicationgatewayconfig throw root element miss error use version msi instal cmdlet get azureapplicationgatewayconfigmod asmoutput tfsbridg tfsid,,unknown,network| service attention,3/6/2015
1749,azure-powershellWebScrap,462,get azurewebsit doesnt work remot debug vs enabl tfsbridg tfsid,,unknown,app services| service attention,3/6/2015
1746,azure-powershellWebScrap,459,get azureapplicationgatewayconfig export file throw root element miss use version msi instal cmdlet get azureapplicationgatewayconfig name appgwtest exporttofil config xmlmode asmoutput tfsbridg tfsid,,unknown,network| service attention,3/6/2015
1425,azure-powershellWebScrap,564,arm get azuretrafficmanagerprofil workflow rais filenotfoundexcept tri use get azuretrafficmanagerprofil cmdlet arm powershel workflow unfortun rais exceptionseem like similar issu net sdk step reproduc instal azur powershel june webpi creat traffic manag profil use powershel creat powershel workflow use get azuretrafficmanagerprofil cmdlet view traffic manag profil creat execut powershel workflow tfsbridg tfsid,,unknown,network - traffic manager| service attention,3/7/2015
1420,azure-powershellWebScrap,563,parameterbindingexcept tri add extern endpoint trafficmanag profil consid follow code servic manag cmdlet step reproduc instal azur powershel june webpi use portal manag windowsazur com creat new traffic manag profil run code edit variabl newendpoint tmprofil appropriatethi possibl relat ping pcgeek tfsbridg tfsid,,unknown,network| service attention,3/7/2015
