,RepoID,IssueID,Title_Description,AST,FixedByID,Name,CreatedDate
5692,aspnetcoreWebScrap,17553,project templat need updat templat ident defin templat json need updat templat master target netcoreapp sinc current ident templat target tempalt instal hide templat prevent creat either via dotnet new within visual studio addit preced also need updat essenti issu describ,,ryanbrandenburg,done| area-mvc| cost xs| enhancement,2019-03-12
5678,aspnetcoreWebScrap,17535,static asset razor class librari found add razor class librari run app repro step creat standalon blazor webassembl app vs preview run app ctrl add razor class librari project refer rcl app add link content razorclasslibrari style css index html add razorclasslibrari compon index razor rerun app expect result compon show home page app proper style actual result style css file found workaround close reopen solut rerun app,,javiercn,heavy_check_mark resolution by design| status resolved| area-blazor| blazor-wasm,2019-03-12
5689,aspnetcoreWebScrap,17548,blazor router gener error uri rout intern describ bug creat intern link page paramet possibl gener uri correctli pars navig directli page result error navig extern sourc reproduc see stackoverflow question background summari creat target page accept string paramet creat sourc page gener link href locationdetailpopup uri escapedatastr place info place set string gener uri form pars correctli navig directli applic user click link sourc page gener error user copi uri browser address bar tri use bookmark later session problem appear caus period hyphen sinc convent string use paramet uri use bookmark without gener error howev manual escap period hyphen code still gener error uri use bookmark technic detail ps work backend csharp applic cli info bin debug dotnet info net core sdk reflect global json version preview commit runtim environ os name window os version os platform window rid win base path program file dotnet sdk preview host use support version preview commit net core sdk instal program file dotnet sdk preview program file dotnet sdk program file dotnet sdk preview program file dotnet sdk net core runtim instal microsoft aspnetcor program file dotnet share microsoft aspnetcor microsoft aspnetcor program file dotnet share microsoft aspnetcor microsoft aspnetcor program file dotnet share microsoft aspnetcor microsoft aspnetcor app program file dotnet share microsoft aspnetcor app microsoft aspnetcor app program file dotnet share microsoft aspnetcor app microsoft aspnetcor app program file dotnet share microsoft aspnetcor app microsoft aspnetcor app preview program file dotnet share microsoft aspnetcor app microsoft aspnetcor app preview program file dotnet share microsoft aspnetcor app microsoft aspnetcor app preview program file dotnet share microsoft aspnetcor app microsoft netcor app program file dotnet share microsoft netcor app microsoft netcor app program file dotnet share microsoft netcor app microsoft netcor app program file dotnet share microsoft netcor app microsoft netcor app preview program file dotnet share microsoft netcor app microsoft netcor app preview program file dotnet share microsoft netcor app microsoft netcor app preview program file dotnet share microsoft netcor app microsoft windowsdesktop app preview program file dotnet share microsoft windowsdesktop app microsoft windowsdesktop app preview program file dotnet share microsoft windowsdesktop app microsoft windowsdesktop app preview program file dotnet share microsoft windowsdesktop app instal addit net core runtim sdk ps work backend csharp applic cli info bin debug,,javiercn,area-blazor| question,2019-03-12
5682,aspnetcoreWebScrap,17541,custom valid attribut show incorrect error messag razorpag pageremot valid aspnet core creat one custom valid attribut work fine public seal class duplicateurlcheckerattribut validationattribut public string geterrormessag url protect overrid validationresult isvalid object valu validationcontext validationcontext var servic iordervalidationservic validationcontext getservic typeof iordervalidationservic servic duplicateurl valu tostr return new validationresult geterrormessag return validationresult success use razor page remot valid page remot public class indexmodel pagemodel readonli iviewerorderservic viewerorderservic public indexmodel iviewerorderservic viewerorderservic viewerorderservic viewerorderservic pageremot additionalfield requestverificationtoken httpmethod post pagehandl checkvalid bindproperti public order order get set requir url regularexpress errormessag duplicateurlcheck pageremot additionalfield requestverificationtoken httpmethod post pagehandl checkvalid bindproperti public string duplicateurl get set public void onget public async task iactionresult onpostasync cancellationtoken cancelationtoken modelst isvalid return page order linkurl duplicateurl await viewerorderservic addord order cancelationtoken tempdata set neword order return redirecttopag thankyou return page public jsonresult onpostcheckvalid modelst isvalid return new jsonresult fals return new jsonresult true still work fine problem dont show correctli errormessag view instead show error url show duplicateurl invalid even use duplicateurlcheck errormessag url still show duplicateurl invalid view page handler model makemoney web page indexmodel use makemoney domain model linkord viewdata titl form id wrap asp page index method post input id websit name websit type text valu leav input secur protect read doc detail div id middl wizard first branch type project last step div class submit step id end div class question titl div div class row justifi content center div class col lg div class box gener div class form group input type email asp order email class requir form control titl placehold span class text danger asp valid order email span div div class checkbox question input asp order inform type checkbox class icheck label label span class text danger asp valid order inform span div div class form group input type text asp duplicateurl class requir form control pattern titl url placehold requir span class text danger asp valid duplicateurl span div div class form group add bottom label label div class style select select asp order subtitletyp class requir asp item html getenumselectlist subtitletyp select span class text danger asp valid order subtitletyp span div div div class checkbox question input name term type checkbox class icheck requir valu ye titl label href data toggl modal data target term txt label div div box gener div div row div last step div div middl wizard div id bottom wizard button type button name forward class forward button button type submit name process class submit button button type button name backward class backward button div bottom wizard form section script partial name validationscriptsparti certainli add errormessag pageremot without errormessag pageremot default messag work pageremot errormessag url additionalfield requestverificationtoken httpmethod post pagehandl checkvalid,,javiercn,area-mvc| investigate,2019-03-12
5272,aspnetcoreWebScrap,8485,improv experi build templat local right local develop project templat big pain first build packag take work templat run separ script see action,,ryanbrandenburg,heavy_check_mark resolution duplicate| area-mvc| cost m| task,2019-03-13
5261,aspnetcoreWebScrap,8469,outputformatt respect accept header request content type present describ bug current incorpor applic msgpack intern http api hard time implement interoper applic json current percept jsonoutputformatt base class outputformatt aspnetcor src mvc mvc core src formatt outputformatt cs content negoti work differ describ doc accord doc asp net core mvc look accept header request respond request media type regist ioutputformatt support current behaviour accept header set applic msgpack content type header set jsonoutputformatt outputformatt base class implement default first support media type supportedmediatyp inoutputformatt canwriteresult result jsonoutputformatt pick request provid present mvcoption outputformatt accept applic msgpack return respons content type applic json even ioutputformatt produc content type messagepack output fomatt canwriteresult implement expect behavior default jsonoutputformatt respect media type accept header even content type header present mvc pickup ioutputformatt produc request media type addit context asp net core nuget microsoft aspnetcor microsoft aspnetcor mvc,<bm>mainvoidpredefinedtype|methoddeclaration|parameterlist|parameter|arraytype|predefinedtypestringvoidpredefinedtype|methoddeclaration|parameterlist|parameterargsvoidpredefinedtype|methoddeclarationmethod_namestringpredefinedtype|arraytype|parameterargsstringpredefinedtype|arraytype|parameter|parameterlist|methoddeclarationmethod_nameargsparameter|parameterlist|methoddeclaration|block|expressionstatement|invocationexpression|simplememberaccessexpression0|identifiername1add|xml|serializer|formattersargsparameter|parameterlist|methoddeclarationmethod_nameservicesidentifiername0|simplememberaccessexpression|identifiername1add|mvcservicesidentifiername0|simplememberaccessexpression0|invocationexpression0|simplememberaccessexpression|identifiername1add|mvc|optionsservicesidentifiername0|simplememberaccessexpression0|invocationexpression0|simplememberaccessexpression0|invocationexpression0|simplememberaccessexpression|identifiername1add|xml|serializer|formattersadd|mvcidentifiername1|simplememberaccessexpression0|invocationexpression0|simplememberaccessexpression|identifiername1add|mvc|optionsadd|mvcidentifiername1|simplememberaccessexpression0|invocationexpression0|simplememberaccessexpression0|invocationexpression0|simplememberaccessexpression|identifiername1add|xml|serializer|formattersadd|mvc|optionsidentifiername1|simplememberaccessexpression0|invocationexpression|argumentlist1|argument0|simplelambdaexpression|parameteroptionadd|mvc|optionsidentifiername1|simplememberaccessexpression0|invocationexpression0|simplememberaccessexpression|identifiername1add|xml|serializer|formattersadd|mvc|optionsidentifiername1|simplememberaccessexpression0|invocationexpression0|simplememberaccessexpression0|invocationexpression|expressionstatement|block|methoddeclarationmethod_nameoptionparameter|simplelambdaexpression|block|expressionstatement|simpleassignmentexpression|simplememberaccessexpression0|identifiername1respect|browser|accept|headeroptionidentifiername0|simplememberaccessexpression|identifiername1respect|browser|accept|headeroptionparameter|simplelambdaexpression|block|expressionstatement|invocationexpression|simplememberaccessexpression0|simplememberaccessexpression0|identifiername1output|formattersoptionidentifiername0|simplememberaccessexpression|identifiername1output|formattersoptionparameter|simplelambdaexpression|block|expressionstatement|invocationexpression|simplememberaccessexpression0|identifiername1addoptionidentifiername0|simplememberaccessexpression0|simplememberaccessexpression|identifiername1addoptionparameter|simplelambdaexpression|block|expressionstatement|invocationexpression|simplememberaccessexpression0|identifiername1addoptionidentifiername0|simplememberaccessexpression0|simplememberaccessexpression|identifiername1addoptionidentifiername0|simplememberaccessexpression0|simplememberaccessexpression0|invocationexpression|argumentlist1|argument0|objectcreationexpression|identifiernamemessage|pack|output|formatteroptionparameter|simplelambdaexpression|block|expressionstatement|invocationexpression|simplememberaccessexpression0|simplememberaccessexpression0|identifiername1input|formattersoptionidentifiername0|simplememberaccessexpression|identifiername1input|formattersoptionidentifiername0|simplememberaccessexpression0|simplememberaccessexpression0|invocationexpression|argumentlist1|argument0|objectcreationexpression|identifiernamemessage|pack|input|formatteroptionparameter|simplelambdaexpression|argument0|argumentlist1|invocationexpression0|simplememberaccessexpression|identifiername1add|xml|serializer|formattersoutput|formattersidentifiername1|simplememberaccessexpression0|simplememberaccessexpression|identifiername1addoutput|formattersidentifiername1|simplememberaccessexpression0|simplememberaccessexpression0|invocationexpression|argumentlist1|argument0|objectcreationexpression|identifiernamemessage|pack|output|formatteraddidentifiername1|simplememberaccessexpression0|invocationexpression|argumentlist1|argument0|objectcreationexpression|identifiernamemessage|pack|output|formatteraddidentifiername1|simplememberaccessexpression|simplememberaccessexpression0|identifiername1input|formattersaddidentifiername1|simplememberaccessexpression0|invocationexpression|argumentlist1|argument0|objectcreationexpression|identifiernamemessage|pack|input|formattermessage|pack|output|formatteridentifiername|objectcreationexpression|argumentlist|argument0|simplememberaccessexpression|identifiername0contractless|standard|resolvermessage|pack|output|formatteridentifiername|objectcreationexpression|argumentlist|argument0|simplememberaccessexpression|identifiername1instancecontractless|standard|resolveridentifiername0|simplememberaccessexpression|identifiername1instancecontractless|standard|resolveridentifiername0|simplememberaccessexpression|identifiername1instancecontractless|standard|resolveridentifiername0|simplememberaccessexpression|argument0|argumentlist|objectcreationexpression|identifiernamemessage|pack|input|formatterinstanceidentifiername1|simplememberaccessexpression|argument0|argumentlist|objectcreationexpression|identifiernamemessage|pack|input|formatterinput|formattersidentifiername1|simplememberaccessexpression0|simplememberaccessexpression0|invocationexpression|argumentlist1|argument0|objectcreationexpression|identifiernamemessage|pack|input|formatteradd|xml|serializer|formattersidentifiername1|simplememberaccessexpression0|invocationexpression|expressionstatement|block|methoddeclarationmethod_nameoptionidentifiername0|simplememberaccessexpression0|simpleassignmentexpression|expressionstatement|block|simplelambdaexpression|parameteroptionoptionidentifiername0|simplememberaccessexpression0|simplememberaccessexpression0|invocationexpression|expressionstatement|block|simplelambdaexpression|parameteroptionoptionidentifiername0|simplememberaccessexpression0|simplememberaccessexpression0|invocationexpression|expressionstatement|block|simplelambdaexpression|parameteroptionoptionparameter|simplelambdaexpression|block|expressionstatement|simpleassignmentexpression|simplememberaccessexpression0|identifiername0optionoptionparameter|simplelambdaexpression|block|expressionstatement|invocationexpression|simplememberaccessexpression0|simplememberaccessexpression0|identifiername0optionoptionparameter|simplelambdaexpression|block|expressionstatement|invocationexpression|simplememberaccessexpression0|simplememberaccessexpression0|identifiername0optionaccept|headercommentaccept|headermsgpackcommentmsgpack<em>,pranavkm,external| area-mvc,2019-03-13
5260,aspnetcoreWebScrap,8468,log state consist fetch data page account manag page react app authent asp net core preview describ bug react app authent creat use asp net core preview click logout account profil page seem log still log home page fetch data page reproduc use asp net core preview creat new project dotnet new react auth individu appli variou workaround run app click regist complet registr form log exist account click hello youremail header go ident account manag click logout header page redirect back homepag observ header still say hello youremail show logout link click fetch data header weather forecast page display inde still log click hello youremail header prompt log log ident account manag expect behavior click logout page log entir applic note revers true log home page brows ident account manag prompt log expect,,javiercn,area-mvc| identity-service| investigate,2019-03-13
5268,aspnetcoreWebScrap,8476,razor compon deal applic restart hello server restart exampl new deploy deal sinc page state kept memori server app restart state lost page left broken user refresh page work way keep state persist storag handl automat refresh user page detect there new version,,javiercn,docs| area-blazor| question,2019-03-13
5264,aspnetcoreWebScrap,8472,asp net core use storag nuget packag result nuget conflict describ bug microsoft aspnetcor dataprotect azurestorag depend windowsazur storag nuget packag creat conflict also use nuget packag reli modern replac microsoft azur storag bot framework issu project error im get,,natemcmaster,done| area-dataprotection| breaking-change,2019-03-13
5274,aspnetcoreWebScrap,8489,track issu system text json follow datetim work around found dictionari tkey tvalu collect interfac support camel case support jsonextensiondataattribut support object deseri cyclic refer object guid support type cast number string serial abl cover error handl jsinterop support mix type array,,pranavkm,done| area-mvc| cost 0| task,2019-03-13
