,RepoID,IssueID,Title_Description,AST,FixedByID,Name,CreatedDate
1577,aspnetcoreWebScrap,5374,what method attributes specified hubname call?  what method attributes specified hubname call in java?,,unknown,area-signalr,2018-05-11
4272,aspnetcoreWebScrap,3881,test failure _4_buildincremental this issue was made automatically. if there is a problem contact ryanbrandenburg.this test [failed]( with the following error    other tests within that build may have failed with a similar message but they are not listed here. check the link above for more info.  this test failed on release/2.2.  cc eilon,,ryanbrandenburg| mkartakmsft,test-failure,2018-05-11
5141,aspnetcoreWebScrap,4933,linkgeneration for razor pages seems to be broken in mvcsandbox \ master   run mvcsandbox sample from this repo    expected    link says /pageshome     actual    link says /endpoints?page= 2fpageshome    ,,jamesnk,area-mvc| bug,2018-05-11
3470,aspnetcoreWebScrap,5626,suggestion 401 redirect helper with the way the httpclient is working on client side blazor its actually super hard to intecept the http errors (even with try/catch).  it would be great on the httpclient di singleton if we could specify a route associated with common http codes that it returns.  e.g. on a 401 it might redirect to a login route or token refresh route etc. eg. on a 500 it might show an error page etc.  these might be specified in the startup (i.e. when the dependency is injected).  as a temp workaround i might try wrapping the current singleton - but it seems to be acting strangely (more debugging required by me).,,unknown,area-blazor,2018-05-11
6948,aspnetcoreWebScrap,4215,static files and matching i updated [a sample]( to use static files + endpoints + authz. to achieve the desired result i had to write a diy static file endpoint matcher and it got me thinking.   random thought 1 we could add configurable static file matching to useendpointrouting. it would be useful when you want to run the file through apis that use endpoints e.g. authorizationmiddleware. there could be a couple of modes for matching   the static files all live as endpoints provided by an endpoint datasource. high memory long startup time high perf   or the endpoint for a static file is created on demand. low memory short startup time low perf. this is what the [authz sample]( is doing.     random thought 2 usestaticfiles today is terminal if there is a matching file. if static files have endpoints then it could disappear from 3.0 templates and the static file could be returned at the end of the request pipeline.  would there be performance considerations from doing this? it would mean static files experience the entire request pipeline e.g. if authentication is enabled then static file requests would be authenticated.  alternatively usestaticfiles could remain present in templates and if the request was matched to a static file endpoint in useendpointrouting then usestaticfiles would do nothing more than invoke the endpoint and exit.,<bm>mainvoidpredefinedtype|methoddeclaration|parameterlist|parameter|arraytype|predefinedtypestringvoidpredefinedtype|methoddeclaration|parameterlist|parameterargsvoidpredefinedtype|methoddeclarationmethod_namestringpredefinedtype|arraytype|parameterargsstringpredefinedtype|arraytype|parameter|parameterlist|methoddeclarationmethod_nameargsparameter|parameterlist|methoddeclaration|block|expressionstatement|invocationexpression|simplememberaccessexpression0|identifiername0appargsparameter|parameterlist|methoddeclaration|block|expressionstatement|invocationexpression|simplememberaccessexpression0|identifiername1use|endpoint|routingargsparameter|parameterlist|methoddeclarationmethod_nameappidentifiername0|simplememberaccessexpression|identifiername1use|endpoint|routingappidentifiername0|simplememberaccessexpression0|invocationexpression|argumentlist1|argument0|simplelambdaexpression|parameterroutesappidentifiername0|simplememberaccessexpression0|invocationexpression|expressionstatement|block|methoddeclarationmethod_nameuse|endpoint|routingidentifiername1|simplememberaccessexpression0|invocationexpression|argumentlist1|argument0|simplelambdaexpression|parameterroutesuse|endpoint|routingidentifiername1|simplememberaccessexpression0|invocationexpression|expressionstatement|block|methoddeclarationmethod_nameroutesparameter|simplelambdaexpression|block|expressionstatement|invocationexpression|simplememberaccessexpression0|identifiername1map|applicationroutesidentifiername0|simplememberaccessexpression|identifiername1map|applicationroutesparameter|simplelambdaexpression|block|expressionstatement|invocationexpression|simplememberaccessexpression0|identifiername1map|static|filesroutesidentifiername0|simplememberaccessexpression|identifiername1map|static|filesroutesparameter|simplelambdaexpression|argument0|argumentlist1|invocationexpression|expressionstatement|block|methoddeclarationmethod_nameroutesidentifiername0|simplememberaccessexpression0|invocationexpression|expressionstatement|block|simplelambdaexpression|parameterroutesroutesidentifiername0|simplememberaccessexpression0|invocationexpression|expressionstatement|block|simplelambdaexpression|parameterroutesroutesparameter|simplelambdaexpression|block|expressionstatement|invocationexpression|simplememberaccessexpression0|identifiername0routesroutesparameter|simplelambdaexpression|block|expressionstatement|invocationexpression|simplememberaccessexpression0|identifiername0routes<em>,jamesnk,needs design| area-mvc| enhancement,2018-05-11
691,aspnetcoreWebScrap,4434,addtaghelper in _viewstart for viewcomponent not respected  describe the bug when calling addtaghelper in _viewstart.cshtml tag helpers for viewcomponents do not work.   to reproduce steps to reproduce the behavior 1. using this version of asp.net core 2.2 2. create a new web application and add a view component per the docs ( -- i named it copyrightviewcomponent 3. register the the tag helper in _viewstart.cshtml via addtaghelper   addtaghelper   webapplication1 4. consume it via    5. view component doesnt render (just the raw <vccopyright</vccopyright directly in the outputted html)   expected behavior for the view component to render.   workaround register the tag helper in each razor page consuming the view component -- move the addtaghelper into index.cshtml away from _viewstart.cshtml.  while this workaround works it is tedious as you have to remember to do this for every page that consumes it.  in contrast tag helpers do respect it being registered in _viewstart.cshtml ,,unknown,unknown,2018-05-12
1079,aspnetcoreWebScrap,15339,usb access when do we get c usb access over wasm?,,unknown,unknown,2018-05-12
684,aspnetcoreWebScrap,4421,system.componentmodel.win32exception (0x80004005) success executing this command  ./dotnet publish -r linux-x64  gives the following output  system.componentmodel.win32exception (0x80004005) success    at system.diagnostics.process.ensuresigchildhandler()    at system.diagnostics.process.startcore(processstartinfo startinfo)    at system.diagnostics.process.start()    at microsoft.dotnet.cli.utils.processstartinfoextensions.execute(processstartinfo startinfo)    at microsoft.dotnet.tools.restoringcommand.execute()    at microsoft.dotnet.tools.publish.publishcommand.run(string[] args)    at microsoft.dotnet.cli.program.processargs(string[] args itelemetry telemetryclient)    at microsoft.dotnet.cli.program.main(string[] args)   what does it mean and seems there is no any build?   .net core sdk (reflecting any global.json)  version   2.2.100  commit    51868761f2  runtime environment  os name     linux  os version    os platform linux  rid         linux-x64  base path   /home/forceitu/.dotnet/sdk/2.2.100/  host (useful for support)   version 2.2.0   commit  1249f08fed  .net core sdks installed   2.2.100 [/home/forceitu/.dotnet/sdk]  .net core runtimes installed   microsoft.aspnetcore.all 2.2.0 [/home/forceitu/.dotnet/shared/microsoft.aspnetcore.all]   microsoft.aspnetcore.app 2.2.0 [/home/forceitu/.dotnet/shared/microsoft.aspnetcore.app]   microsoft.netcore.app 2.2.0 [/home/forceitu/.dotnet/shared/microsoft.netcore.app]  to install additional .net core runtimes or sdks    ,,unknown,unknown,2018-05-12
686,aspnetcoreWebScrap,4426,generic host and entity framework logging configuration im not sure if this is the proper place to log the issue...  im using the generic host builder to construct a host for my local service. logging is configured with a logging level of error across the board. this is working except in ef core which is still logging at the info level. i suspect that ef is using a separate logger. is there something different i need to do to tell ef to use the same log configuration as the rest of the application. below is the code for my host   finally here is what is getting logged.  notice ara is logging at info level like it should but ef is also logging at info when it should be logging at error  [image](  ,,unknown,unknown,2018-05-12
4344,aspnetcoreWebScrap,5666,update to sdk 2.2.100 throws an item with the same key has already been added. key .wasm i updated my blazor project from 2.2.100-preview3-009430 to 2.2.100 release. i now get the following exception    the line app.useserversideblazor<client.startup(); seems to be the reason.   any suggestions?,<bm>mainvoidpredefinedtype|methoddeclaration|parameterlist|parameter|arraytype|predefinedtypestringvoidpredefinedtype|methoddeclaration|parameterlist|parameterargsvoidpredefinedtype|methoddeclarationmethod_namestringpredefinedtype|arraytype|parameterargsstringpredefinedtype|arraytype|parameter|parameterlist|methoddeclarationmethod_nameargsparameter|parameterlist|methoddeclaration|block|expressionstatement|invocationexpression|simplememberaccessexpression0|identifiername0servicesargsparameter|parameterlist|methoddeclaration|block|expressionstatement|invocationexpression|simplememberaccessexpression0|identifiername1add|response|compressionargsparameter|parameterlist|methoddeclarationmethod_nameservicesidentifiername0|simplememberaccessexpression|identifiername1add|response|compressionservicesidentifiername0|simplememberaccessexpression0|invocationexpression|argumentlist1|argument0|simplelambdaexpression|parameteroptionsservicesidentifiername0|simplememberaccessexpression0|invocationexpression|expressionstatement|block|methoddeclarationmethod_nameadd|response|compressionidentifiername1|simplememberaccessexpression0|invocationexpression|argumentlist1|argument0|simplelambdaexpression|parameteroptionsadd|response|compressionidentifiername1|simplememberaccessexpression0|invocationexpression|expressionstatement|block|methoddeclarationmethod_nameoptionsparameter|simplelambdaexpression|block|expressionstatement|simpleassignmentexpression|simplememberaccessexpression0|identifiername1mime|typesoptionsidentifiername0|simplememberaccessexpression|identifiername1mime|typesoptionsidentifiername0|simplememberaccessexpression0|simpleassignmentexpression|invocationexpression1|simplememberaccessexpression0|simplememberaccessexpression0|identifiername1mime|typesoptionsidentifiername0|simplememberaccessexpression0|simpleassignmentexpression|invocationexpression1|simplememberaccessexpression0|simplememberaccessexpression0|identifiername0response|compression|defaultsoptionsparameter|simplelambdaexpression|block|expressionstatement|simpleassignmentexpression|invocationexpression1|simplememberaccessexpression0|identifiername1concatoptionsidentifiername0|simplememberaccessexpression0|simpleassignmentexpression|invocationexpression1|simplememberaccessexpression0|identifiername1concatoptionsparameter|simplelambdaexpression|argument0|argumentlist1|invocationexpression|expressionstatement|block|methoddeclarationmethod_namemime|typesidentifiername1|simplememberaccessexpression0|simpleassignmentexpression|invocationexpression1|simplememberaccessexpression0|simplememberaccessexpression0|identifiername0response|compression|defaultsmime|typesidentifiername1|simplememberaccessexpression|identifiername0response|compression|defaultsmime|typesidentifiername1|simplememberaccessexpression0|simpleassignmentexpression|invocationexpression1|simplememberaccessexpression0|identifiername1concatmime|typesidentifiername1|simplememberaccessexpression0|simplememberaccessexpression|identifiername1concatresponse|compression|defaultsidentifiername0|simplememberaccessexpression0|simplememberaccessexpression|identifiername1concatmedia|type|namesidentifiername0|simplememberaccessexpression|identifiername1applicationmedia|type|namesidentifiername0|simplememberaccessexpression0|simplememberaccessexpression|arrayinitializerexpression|simplememberaccessexpression|simplememberaccessexpression0|identifiername1applicationmedia|type|namesidentifiername0|simplememberaccessexpression0|simplememberaccessexpression|identifiername1octetmedia|type|namesidentifiername0|simplememberaccessexpression0|simplememberaccessexpression|arrayinitializerexpression|simplememberaccessexpression|simplememberaccessexpression0|identifiername0wasm|media|type|namesmedia|type|namesidentifiername0|simplememberaccessexpression0|simplememberaccessexpression|arrayinitializerexpression|simplememberaccessexpression|identifiername1wasmapplicationidentifiername1|simplememberaccessexpression0|simplememberaccessexpression|identifiername1octetapplicationidentifiername1|simplememberaccessexpression0|simplememberaccessexpression|arrayinitializerexpression|simplememberaccessexpression|identifiername1octetapplicationidentifiername1|simplememberaccessexpression0|simplememberaccessexpression|arrayinitializerexpression|simplememberaccessexpression|simplememberaccessexpression0|identifiername0wasm|media|type|namesapplicationidentifiername1|simplememberaccessexpression|identifiername0wasm|media|type|namesapplicationidentifiername1|simplememberaccessexpression0|simplememberaccessexpression|arrayinitializerexpression|simplememberaccessexpression|identifiername1wasmapplicationidentifiername1|simplememberaccessexpression0|simplememberaccessexpression|identifiername1wasmoctetidentifiername1|simplememberaccessexpression|arrayinitializerexpression|simplememberaccessexpression|simplememberaccessexpression0|identifiername0wasm|media|type|namesoctetidentifiername1|simplememberaccessexpression|arrayinitializerexpression|simplememberaccessexpression|identifiername1wasmwasm|media|type|namesidentifiername0|simplememberaccessexpression0|simplememberaccessexpression|identifiername1wasmoptionsidentifiername0|simplememberaccessexpression0|simpleassignmentexpression|expressionstatement|block|simplelambdaexpression|parameteroptionsoptionsparameter|simplelambdaexpression|block|expressionstatement|simpleassignmentexpression|simplememberaccessexpression0|identifiername0optionsmime|typesidentifiername1|simplememberaccessexpression0|simplememberaccessexpression0|invocationexpression1|simpleassignmentexpression|simplememberaccessexpression0|identifiername1mime|typesmime|typesidentifiername1|simplememberaccessexpression0|simpleassignmentexpression|invocationexpression1|simplememberaccessexpression0|simplememberaccessexpression0|identifiername1mime|typesapplicationidentifiername1|simplememberaccessexpression0|simplememberaccessexpression|arrayinitializerexpression|simplememberaccessexpression|simplememberaccessexpression0|identifiername1applicationapplicationidentifiername1|simplememberaccessexpression0|simplememberaccessexpression|arrayinitializerexpression|simplememberaccessexpression|simplememberaccessexpression0|identifiername1application<em>,stevesandersonms,done| area-blazor| bug,2018-05-12
